REF_DATE,GEO,DGUID,Gender (3a),Age (8G),Statistics (5),Coordinate,Indigenous identity (9):Total - Indigenous identity[1],Symbol,Indigenous identity (9):Indigenous identity[2],Symbol,Indigenous identity (9):Single Indigenous responses[3],Symbol,Indigenous identity (9):First Nations (North American Indian)[4],Symbol,Indigenous identity (9):Métis[5],Symbol,Indigenous identity (9):Inuk (Inuit)[6],Symbol,Indigenous identity (9):Multiple Indigenous responses[7],Symbol,Indigenous identity (9):Indigenous responses not included elsewhere[8],Symbol,Indigenous identity (9):Non-Indigenous identity[9],Symbol
2021,Canada,2021A000011124,Total - Gender,Total - Age,2021 Counts,1.1.1.1,36328475,,1807250,,1743165,,1048405,,624215,,70540,,28860,,35225,,34521225,
2021,Canada,2021A000011124,Total - Gender,Total - Age,2016 Counts,1.1.1.2,34460065,,1673780,,1629800,,977230,,587545,,65025,,21310,,22670,,32786280,
2021,Canada,2021A000011124,Total - Gender,Total - Age,% distribution (2021),1.1.1.3,100,,5,,4.8,,2.9,,1.7,,0.2,,0.1,,0.1,,95,
2021,Canada,2021A000011124,Total - Gender,Total - Age,% distribution (2016),1.1.1.4,100,,4.9,,4.7,,2.8,,1.7,,0.2,,0.1,,0.1,,95.1,
2021,Canada,2021A000011124,Total - Gender,Total - Age,% change (2016 to 2021),1.1.1.5,5.5,,9.4,,8.4,,9.7,,6.3,,8.5,,35.5,,55.7,,5.3,
2021,Canada,2021A000011124,Total - Gender,0 to 14 years,2021 Counts,1.1.2.1,5992560,,459210,,443920,,283655,,137600,,22670,,8645,,6645,,5533350,
2021,Canada,2021A000011124,Total - Gender,0 to 14 years,2016 Counts,1.1.2.2,5817050,,448870,,438305,,285825,,130990,,21495,,6015,,4550,,5368180,
2021,Canada,2021A000011124,Total - Gender,0 to 14 years,% distribution (2021),1.1.2.3,100,,7.7,,7.4,,4.7,,2.3,,0.4,,0.1,,0.1,,92.3,
2021,Canada,2021A000011124,Total - Gender,0 to 14 years,% distribution (2016),1.1.2.4,100,,7.7,,7.5,,4.9,,2.3,,0.4,,0.1,,0.1,,92.3,
2021,Canada,2021A000011124,Total - Gender,0 to 14 years,% change (2016 to 2021),1.1.2.5,3.1,,4,,3,,1.8,,5.1,,5.5,,44,,46.4,,3.1,
2021,Canada,2021A000011124,Total - Gender,15 to 24 years,2021 Counts,1.1.3.1,4181055,,284890,,275575,,170915,,92485,,12170,,4780,,4540,,3896165,
2021,Canada,2021A000011124,Total - Gender,15 to 24 years,2016 Counts,1.1.3.2,4231725,,283385,,276800,,170705,,94100,,11995,,3480,,3110,,3948335,
2021,Canada,2021A000011124,Total - Gender,15 to 24 years,% distribution (2021),1.1.3.3,100,,6.8,,6.6,,4.1,,2.2,,0.3,,0.1,,0.1,,93.2,
2021,Canada,2021A000011124,Total - Gender,15 to 24 years,% distribution (2016),1.1.3.4,100,,6.7,,6.5,,4,,2.2,,0.3,,0.1,,0.1,,93.3,
2021,Canada,2021A000011124,Total - Gender,15 to 24 years,% change (2016 to 2021),1.1.3.5,-1.1,,1.9,,0.9,,2.3,,-1.7,,1.5,,37.4,,45.8,,-1.3,
2021,Canada,2021A000011124,Total - Gender,25 to 34 years,2021 Counts,1.1.4.1,4898630,,263650,,255010,,154985,,89090,,10935,,4415,,4235,,4634970,
2021,Canada,2021A000011124,Total - Gender,25 to 34 years,2016 Counts,1.1.4.2,4576575,,235905,,230425,,136920,,83585,,9915,,2830,,2650,,4340670,
2021,Canada,2021A000011124,Total - Gender,25 to 34 years,% distribution (2021),1.1.4.3,100,,5.4,,5.2,,3.2,,1.8,,0.2,,0.1,,0.1,,94.6,
2021,Canada,2021A000011124,Total - Gender,25 to 34 years,% distribution (2016),1.1.4.4,100,,5.2,,5,,3,,1.8,,0.2,,0.1,,0.1,,94.8,
2021,Canada,2021A000011124,Total - Gender,25 to 34 years,% change (2016 to 2021),1.1.4.5,7.1,,13.2,,12.1,,15.6,,6.6,,10.3,,56,,59.8,,6.8,
