REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,Canada,2021A000011124,Total - Labour force status,Total - Age,1.1.1,30335920,,14861250,,15474670,
2021,Canada,2021A000011124,Total - Labour force status,15 to 24 years,1.1.2,4181055,,2161145,,2019910,
2021,Canada,2021A000011124,Total - Labour force status,15 to 19 years,1.1.3,2003200,,1036235,,966960,
2021,Canada,2021A000011124,Total - Labour force status,20 to 24 years,1.1.4,2177860,,1124910,,1052945,
2021,Canada,2021A000011124,Total - Labour force status,25 to 64 years,1.1.5,19568260,,9620335,,9947925,
2021,Canada,2021A000011124,Total - Labour force status,25 to 54 years,1.1.6,14405895,,7101750,,7304150,
2021,Canada,2021A000011124,Total - Labour force status,25 to 34 years,1.1.7,4898625,,2453265,,2445360,
2021,Canada,2021A000011124,Total - Labour force status,25 to 29 years,1.1.8,2400005,,1215630,,1184370,
2021,Canada,2021A000011124,Total - Labour force status,30 to 34 years,1.1.9,2498620,,1237630,,1260985,
2021,Canada,2021A000011124,Total - Labour force status,35 to 44 years,1.1.10,4872420,,2384015,,2488405,
2021,Canada,2021A000011124,Total - Labour force status,45 to 54 years,1.1.11,4634845,,2264460,,2370385,
2021,Canada,2021A000011124,Total - Labour force status,55 to 64 years,1.1.12,5162365,,2518590,,2643775,
2021,Canada,2021A000011124,Total - Labour force status,65 years and over,1.1.13,6586600,,3079765,,3506840,
2021,Canada,2021A000011124,Total - Labour force status,65 to 74 years,1.1.14,3991130,,1910780,,2080350,
2021,Canada,2021A000011124,Total - Labour force status,75 years and over,1.1.15,2595470,,1168980,,1426485,
2021,Canada,2021A000011124,In the labour force,Total - Age,1.2.1,19310345,,10056275,,9254070,
2021,Canada,2021A000011124,In the labour force,15 to 24 years,1.2.2,2520880,,1292285,,1228595,
2021,Canada,2021A000011124,In the labour force,15 to 19 years,1.2.3,862770,,433180,,429590,
2021,Canada,2021A000011124,In the labour force,20 to 24 years,1.2.4,1658115,,859110,,799005,
2021,Canada,2021A000011124,In the labour force,25 to 64 years,1.2.5,15749865,,8136375,,7613490,
2021,Canada,2021A000011124,In the labour force,25 to 54 years,1.2.6,12335885,,6332025,,6003855,
2021,Canada,2021A000011124,In the labour force,25 to 34 years,1.2.7,4170610,,2166555,,2004055,
2021,Canada,2021A000011124,In the labour force,25 to 29 years,1.2.8,2028190,,1052135,,976060,
2021,Canada,2021A000011124,In the labour force,30 to 34 years,1.2.9,2142420,,1114415,,1028000,
2021,Canada,2021A000011124,In the labour force,35 to 44 years,1.2.10,4212255,,2160715,,2051540,
2021,Canada,2021A000011124,In the labour force,45 to 54 years,1.2.11,3953020,,2004760,,1948260,
2021,Canada,2021A000011124,In the labour force,55 to 64 years,1.2.12,3413985,,1804350,,1609630,
2021,Canada,2021A000011124,In the labour force,65 years and over,1.2.13,1039595,,627610,,411985,
2021,Canada,2021A000011124,In the labour force,65 to 74 years,1.2.14,900285,,535630,,364655,
2021,Canada,2021A000011124,In the labour force,75 years and over,1.2.15,139310,,91980,,47330,
2021,Canada,2021A000011124,Employed,Total - Age,1.3.1,17321700,,9056675,,8265020,
2021,Canada,2021A000011124,Employed,15 to 24 years,1.3.2,2029335,,1043375,,985955,
2021,Canada,2021A000011124,Employed,15 to 19 years,1.3.3,681905,,344270,,337635,
2021,Canada,2021A000011124,Employed,20 to 24 years,1.3.4,1347430,,699110,,648320,
