CSDNAME,CSDUID,Aggregate after-tax income of households
Abbotsford,5909052,5000000000
Abercorn,2446005,13200000
Aberdeen,1311026,24600000
Aberdeen,4715019,21200000
Aberdeen No. 373,4715018,66500000
Abernethy No. 186,4706042,11000000
Abram-Village,1103027,10400000
Acadia No. 34,4804001,11600000
Acadieville,1308024,19600000
Acme,4805044,19200000
Acton Vale,2448028,211600000
Addington,1314012,20000000
Addington Highlands,3511035,70400000
Adelaide-Metcalfe,3539047,104400000
Adjala-Tosorontio,3543003,427000000
Admaston/Bromley,3547043,98400000
Adstock,2431056,99200000
Ahtahkakoop 104,4716860,21800000
Air Ronge,4718042,47600000
Airdrie,4806021,2685000000
Ajax,3518005,4430000000
Aklavik,6101025,15800000
Akulivik,2499125,13600000
Alameda,4701037,13600000
Albanel,2492030,68800000
Alberni-Clayoquot B,5923033,14800000
Alberni-Clayoquot C,5923049,25400000
Alberni-Clayoquot D,5923035,78800000
Alberni-Clayoquot E,5923037,102000000
Alberni-Clayoquot F,5923039,66000000
Alberta Beach,4813012,35200000
Alberton,1103052,34000000
Alberton,1103064,70400000
Alberton,3559011,36000000
Alderville First Nation,3514027,14600000
Alert Bay,5943008,11200000
Alert Bay,5943837,10000000
Alexander,4601071,132400000
Alexander 134,4811805,25200000
Alexandra,1102013,8400000
Alexis 133,4813811,14000000
Alfred and Plantagenet,3502023,333000000
"Algoma, Unorganized, North Part",3557095,210800000
Algonquin Highlands,3546018,103200000
Alix,4808034,27400000
Alkali Lake 1,5941801,8400000
Allan,4711072,22400000
Allardville,1315006,52400000
Alma,1306006,8800000
Alma,2493042,954000000
Alnwick,1309036,97800000
Alnwick/Haldimand,3514024,293500000
Alonsa,4617026,34800000
Altona,4603040,121600000
Amaranth,3522008,155600000
Amherst,1211011,264500000
Amherst,2478070,57400000
Amherstburg,3537028,932000000
Amos,2488055,422000000
Amqui,2407047,180000000
Anahim's Flat 1,5941821,11200000
Anchor Point,1009023,9600000
Andover,1312001,23400000
Andrew,4810059,12600000
Ange-Gardien,2455008,88400000
Anmore,5915038,124400000
Annapolis Royal,1205008,17200000
Annapolis Valley First Nation,1207002,19600000
"Annapolis, Subd. A",1205004,156800000
"Annapolis, Subd. B",1205009,113400000
"Annapolis, Subd. C",1205014,147600000
"Annapolis, Subd. D",1205001,86000000
Antigonish,1214002,132000000
"Antigonish, Subd. A",1214001,303000000
"Antigonish, Subd. B",1214006,188000000
Antler No. 61,4701047,14800000
Appleton,1006011,20000000
Arborfield No. 456,4714059,13600000
Arborg,4618074,34000000
Arcola,4701059,25600000
Arctic Bay,6204018,22000000
Argyle,1202001,242400000
Argyle,4604057,25600000
Argyle No. 1,4701001,9200000
Arm River No. 252,4711011,7400000
Armagh,2419037,36400000
Armour,3549019,47000000
Armstrong,3554036,36800000
Armstrong,4618037,52600000
Armstrong,5937028,173600000
Arnold's Cove,1001270,30200000
Arnprior,3547002,326000000
Aroostook,1312002,8400000
Arran-Elderslie,3541043,220800000
Arundel,2478060,18400000
Arviat,6205015,69500000
Ascot Corner,2441055,113000000
Ashcroft,5933019,55200000
Ashfield-Colborne-Wawanosh,3540063,206400000
Asphodel-Norwood,3515003,146400000
Asquith,4712059,19200000
Assiginack,3551011,35200000
Assiniboia,4703036,76000000
Assiniboine 76,4706810,13000000
Aston-Jonction,2450013,11000000
Athabasca,4813048,98000000
Athabasca County,4813044,248800000
Athens,3507042,102000000
Atholville,1314013,95800000
Atikokan,3559001,91200000
Attawapiskat 91A,3560051,23200000
Auclair,2413045,12000000
Audet,2430055,18400000
Augusta,3507006,275500000
Aumond,2483090,23600000
Aurora,3519046,2660000000
Austin,2445085,76000000
Authier,2487050,7800000
Authier-Nord,2487100,10000000
Avondale,1001464,18000000
Avonlea,4702062,16400000
Ayer's Cliff,2445035,43600000
Aylmer,3534011,225200000
Badger,1006026,21600000
Baie Verte,1008079,40400000
Baie-Comeau,2496020,720000000
Baie-des-Sables,2408080,17600000
Baie-du-Febvre,2450100,28200000
Baie-D'Urfé,2466112,196800000
Baie-Saint-Paul,2416013,227200000
Baie-Trinité,2496005,12800000
Baildon No. 131,4707001,18400000
Baker Lake,6205023,60400000
Balcarres,4706047,19200000
Baldwin,3552028,19600000
Balgonie,4706032,70000000
Balmoral,1314005,8000000
Balmoral,1314006,49800000
Bancroft,3512061,114800000
Banff,4815035,258500000
Barnston-Ouest,2444045,16800000
Barnwell,4802023,24800000
Barons,4802016,7600000
Barraute,2488022,61600000
Barrhead,4813019,134800000
Barrhead County No. 11,4813018,173200000
Barrie,3543042,5070000000
Barrier Valley No. 397,4714034,12600000
Barriere,5933074,53000000
Barrington,1201001,200800000
Bas-Caraquet,1315027,36800000
Bashaw,4810002,24000000
Bassano,4802039,38800000
Bath,1311030,10600000
Bathurst,1315008,154800000
Bathurst,1315011,350000000
Batiscan,2437210,30400000
Battle River No. 438,4712078,36000000
Battleford,4712079,154800000
Bauline,1001512,12400000
Bawlf,4810009,13800000
Bay Bulls,1001557,51600000
Bay de Verde,1001347,11000000
Bay Roberts,1001409,183600000
Bayham,3534005,193200000
Bayne No. 371,4715011,14800000
Baytona,1008040,7600000
Beaconsfield,2466107,928000000
Beardy's 97 and Okemasis 96,4715845,21200000
Béarn,2485020,22400000
Bearskin Lake,3560095,6000000
Beaubassin East,1307005,226400000
Beauceville,2427028,187200000
Beauharnois,2470022,427000000
Beaulac-Garthby,2431008,28000000
Beaumont,2419105,102800000
Beaumont,4811013,818000000
Beaupré,2421025,140800000
Beausejour,4612056,107000000
Beauval,4718033,25600000
Beaver County,4810016,189200000
Beaver Lake 131,4812828,8000000
Beaver River No. 622,4717062,38000000
Beaverlodge,4819009,79600000
Bécancour,2438010,448000000
Beckwith,3509024,386000000
Bedeque and Area,1103015,6800000
Bedford,2446035,71200000
Bedford,2446040,20400000
Bégin,2494250,23800000
Behchokò,6103031,53600000
Beiseker,4806024,24000000
Belcarra,5915036,47000000
Belfast,1102002,45400000
Bella Bella 1,5945801,26800000
Bella Coola 1,5945802,16000000
Belledune,1314025,37400000
Belleoram,1003004,6800000
Belleville,3512005,1824000000
Beloeil,2457040,860000000
Bengough,4702023,10800000
Bengough No. 40,4702024,7200000
Benson No. 35,4701027,15200000
Bentley,4808026,30600000
Berens River 13,4619077,19600000
Beresford,1315012,184000000
Beresford,1315015,137600000
Berry,2488070,13200000
Berthier-sur-Mer,2418065,60000000
Berthierville,2452035,120600000
Bertrand,1315036,32800000
Berwick,1207004,67200000
Berwyn,4819072,18400000
Béthanie,2448005,9600000
Bethune,4706061,16400000
Biencourt,2413055,12600000
Bienfait,4701021,23600000
Bifrost-Riverton,4618076,80800000
Big Grassy River 35G,3559051,4800000
Big Island Lake Cree Territory,4717811,9600000
Big Lakes County,4817027,152000000
Big Quill No. 308,4710046,15000000
Big River,4716072,25200000
Big River 118,4716858,24000000
Big River No. 555,4716075,35600000
Big Valley,4807021,7200000
Biggar,4712046,66400000
Biggar No. 347,4712042,22800000
Bighorn No. 8,4815015,67600000
Billings,3551021,25600000
Birch Hills,4715068,36800000
Birch Hills County,4819049,36800000
Birch Hills No. 460,4715067,23200000
Birchy Bay,1008038,11800000
Birdtail Creek 57,4615042,5200000
Bishop's Falls,1006019,90600000
Bjorkdale No. 426,4714038,24800000
Black Diamond,4806011,91600000
Black River 9,4619054,6000000
Black River-Matheson,3556014,83600000
Blackfalds,4808029,356000000
Blacks Harbour,1302012,23000000
Blackville,1309018,51400000
Blackville,1309019,28600000
Blaine Lake,4716016,14600000
Blaine Lake No. 434,4716013,10800000
Blainville,2473015,2296000000
Blanc-Sablon,2498005,40000000
Blandford-Blenheim,3532045,281500000
Blind River,3557038,114400000
Blissfield,1309021,12400000
Blissville,1303001,22000000
Blood 148,4803802,89200000
Bloodvein 12,4619052,10200000
Blucher No. 343,4711069,70800000
Blue Sea,2483045,24400000
Bluewater,3540010,280000000
Boileau,2480115,13000000
Boisbriand,2473005,982000000
Boischatel,2421045,329000000
Bois-des-Filion,2473030,335000000
Bois-Franc,2483085,14200000
Boissevain-Morton,4605032,70800000
Bolton-Est,2445095,42800000
Bolton-Ouest,2446065,31600000
Bon Accord,4811066,48800000
Bonaventure,2405045,88400000
Bonavista,1007023,86400000
Bone Creek No. 108,4704058,11200000
Bonfield,3548027,70000000
Bonnechere Valley,3547035,122400000
Bonne-Espérance,2498010,21200000
Bonnyville,4812009,212400000
Bonnyville No. 87,4812004,507000000
Bonsecours,2442040,21600000
Borden,1103002,24000000
Borden,4716011,9600000
Borden-Carleton,1103005,22800000
Botsford,1307004,32000000
Botwood,1006022,71600000
Boucherville,2458033,1872000000
Bouchette,2483050,21000000
Bouctouche,1308005,72400000
Bow Island,4801014,49800000
Bowden,4808006,40800000
Bowen Island,5915062,233200000
Bowman,2480145,20600000
Boyle,4813046,28800000
Bracebridge,3544018,618000000
