GEO,CSDUID,Indigenous identity,Single Indigenous responses,First Nations,Métis,Inuit,Multiple Indigenous responses,Indigenous responses nie,Non-Indigenous identity
"Division No.  1, Subd. V",1001101,0,0,0,0,0,0,0,100
Portugal Cove South,1001105,0,0,0,0,0,0,0,100
Trepassey,1001113,0,0,0,0,0,0,0,100
St. Shott's,1001120,0,0,0,0,0,0,0,100
"Division No.  1, Subd. U",1001124,2.6,0,0,0,0,0,1.8,97.8
Cape Broyle,1001126,0,0,0,0,0,0,0,100
Renews-Cappahayden,1001131,0,0,0,0,0,0,0,96.9
Fermeuse,1001136,0,0,0,0,0,0,0,100
Port Kirwan,1001140,,,,,,,,
Aquaforte,1001144,0,0,0,0,0,0,0,100
Ferryland,1001149,0,0,0,0,0,0,0,100
"Division No.  1, Subd. W",1001155,0,0,0,0,0,0,0,100
St. Vincent's-St. Stephen's-Peter's River,1001169,0,0,0,0,0,0,0,100
Gaskiers-Point La Haye,1001174,0,0,0,0,0,0,0,100
St. Mary's,1001178,0,0,0,0,0,0,0,100
Riverhead,1001181,0,0,0,0,0,0,0,100
Admirals Beach,1001186,0,0,0,0,0,0,0,100
St. Joseph's,1001192,0,0,0,0,0,0,0,88.9
Mount Carmel-Mitchells Brook-St. Catherine's,1001197,0,0,0,0,0,0,0,100
"Division No.  1, Subd. X",1001203,4.9,4.9,0,2.9,0,0,0,95.1
Colinet,1001207,0,0,0,0,0,0,0,100
"Division No.  1, Subd. C",1001214,0,0,0,0,0,0,0,100
Branch,1001219,0,0,0,0,0,0,0,100
Point Lance,1001225,0,0,0,0,0,0,0,100
St. Bride's,1001228,0,0,0,0,0,0,0,100
"Division No.  1, Subd. B",1001234,0,0,0,0,0,0,0,98.6
Placentia,1001240,2,2,1.1,0.8,0.3,0,0,98.1
Fox Harbour,1001254,0,0,0,0,0,0,0,100
"Division No.  1, Subd. A",1001259,3.3,1.6,1.6,0,0,0,1.6,95.9
Long Harbour-Mount Arlington Heights,1001263,0,0,0,0,0,0,0,97.6
Southern Harbour,1001267,9.6,9.6,7.7,0,0,0,0,92.3
Arnold's Cove,1001270,5.3,5.3,4.3,1.1,0,0,0,94.7
Come By Chance,1001274,12.5,0,0,0,0,0,0,90.6
Sunnyside,1001277,2.1,2.1,0,0,0,0,0,97.9
Chance Cove,1001281,0,0,0,0,0,0,0,100
Norman's Cove-Long Cove,1001285,0,0,0,0,0,0,0,98.5
Chapel Arm,1001289,4,4,0,0,0,0,0,96
"Division No.  1, Subd. Y",1001293,3.3,3.3,2.1,0,0,0,0,97.1
Whitbourne,1001298,2.6,2.6,1.6,0,1,0,0,97.4
"Division No.  1, Subd. E",1001304,1.6,1.6,0.9,0,0,0,0,98.2
Whiteway,1001308,0,0,0,0,0,0,0,98.5
Heart's Delight-Islington,1001312,2.2,1.4,0,0,0,0,0,98.6
Heart's Desire,1001316,0,0,0,0,0,0,0,96.4
"Division No.  1, Subd. F",1001321,0,0,0,0,0,0,0,99
Heart's Content,1001325,6.6,6.6,6.6,0,0,0,0,93.4
New Perlican,1001328,0,0,0,0,0,0,0,100
Winterton,1001332,0,0,0,0,0,0,0,98.8
Hant's Harbour,1001335,3.8,3.8,2.5,0,0,0,0,96.2
"Division No.  1, Subd. G",1001339,1.8,1.8,0,0,0,0,0,97.9
Old Perlican,1001343,0,0,0,0,0,0,0,98.2
Bay de Verde,1001347,0,0,0,0,0,0,0,100
Small Point-Adam's Cove-Blackhead-Broad Cove,1001352,5.7,5.7,0,3.4,0,0,0,94.3
"Division No.  1, Subd. H",1001357,0,0,0,0,0,0,0,100
Salmon Cove,1001361,0,0,0,0,0,0,0,99.3
Victoria,1001365,1.8,1.8,0.6,0,0.9,0,0,98.5
Carbonear,1001370,3.8,3.3,0.8,0.7,1.9,0,0,96.2
"Division No.  1, Subd. I",1001374,0,0,0,0,0,0,0,96.7
Bryant's Cove,1001375,0,0,0,0,0,0,0,98.5
Harbour Grace,1001379,1.3,1.3,0.7,0,0.5,0,0,98.6
Upper Island Cove,1001385,0,0,0,0,0,0,0,99.6
"Division No.  1, Subd. J",1001391,,,,,,,,
Bishop's Cove,1001394,0,0,0,0,0,0,0,95.9
Spaniard's Bay,1001396,3,2.5,1.5,0.4,0.6,0,0.6,97
"Division No.  1, Subd. K",1001405,,,,,,,,
Bay Roberts,1001409,1.9,1.7,0.5,0.9,0.3,0,0.2,98.1
"Division No.  1, Subd. L",1001415,5.1,5.1,0,2.3,0,0,0,95.4
"Division No.  1, Subd. M",1001421,1.7,1.7,0.9,0.9,0,0,0,98.3
North River,1001426,0,0,0,0,0,0,0,99.1
Clarke's Beach,1001429,4.5,4.5,1.1,1.5,1.1,0,0,95.8
South River,1001434,2.3,2.3,1.6,0,0,0,0,97.7
Cupids,1001437,1.4,1.4,0,1.4,0,0,0,97.8
"Division No.  1, Subd. N",1001441,0,0,0,0,0,0,0,100
Brigus,1001446,0,0,0,0,0,0,0,99.3
"Division No.  1, Subd. O",1001452,1.2,1.2,0,0,0,0,0,98.8
Colliers,1001456,0,0,0,0,0,0,0,100
Conception Harbour,1001461,0,0,0,0,0,0,0,100
Avondale,1001464,5.3,2.7,1.8,0,0,0,0,94.7
Harbour Main-Chapel's Cove-Lakeview,1001469,1.9,1.9,0,0,0,0,0,97.7
Holyrood,1001472,2.5,1.9,1.3,0,0,0,0,97.5
Conception Bay South,1001485,3.6,3.3,2,0.9,0.5,0.1,0.2,96.4
"Division No.  1, Subd. R",1001490,0,0,0,0,0,0,0,100
Wabana,1001494,0.6,0.6,0,0,0,0,0,99.4
Portugal Cove-St. Philip's,1001504,3.5,3.3,2.4,0.2,0.7,0,0.2,96.5
Pouch Cove,1001505,2.4,1.9,1.9,0,0,0,0.5,97.6
Flatrock,1001507,4.1,4.1,1.9,2.2,0,0,0,95.9
Torbay,1001509,4,3.9,2.4,1.4,0,0,0.2,95.9
Logy Bay-Middle Cove-Outer Cove,1001511,3,3,1.9,0.6,0.4,0,0,97
Bauline,1001512,7.9,7.9,0,0,0,0,0,93.7
Paradise,1001517,3.8,3.4,2.2,0.9,0.3,0,0.4,96.2
St. John's,1001519,3.3,3.1,2.1,0.5,0.5,0,0.2,96.7
Mount Pearl,1001542,2.9,2.8,1.8,0.6,0.4,0.1,0.1,97.1
Petty Harbour-Maddox Cove,1001551,3.2,2.6,2.1,0,0,0,0,96.3
Bay Bulls,1001557,1.9,1.9,1.6,0.6,0,0,0,98.1
Witless Bay,1001559,3.5,3.5,2.2,0,0,0,0,96.5
"Division No.  1, Subd. D",1001565,0,0,0,0,0,0,0,100
"Division No.  2, Subd. E",1002001,0,0,0,0,0,0,0,100
Lewin's Cove,1002002,0,0,0,0,0,0,0,99.1
Burin,1002005,0.9,0.9,0.9,0,0,0,0,98.9
"Division No.  2, Subd. F",1002006,0,0,0,0,0,0,0,100
St. Lawrence,1002008,1.9,1.4,1.4,0,0,0,0,98.1
"Division No.  2, Subd. G",1002009,,,,,,,,
Lawn,1002011,0,0,0,0,0,0,0,100
Lamaline,1002012,0,0,0,0,0,0,0,100
Lord's Cove,1002013,0,0,0,0,0,0,0,100
Point May,1002014,0,0,0,0,0,0,0,100
Point au Gaul,1002015,0,0,0,0,0,0,0,100
"Division No.  2, Subd. H",1002016,0,0,0,0,0,0,0,100
Frenchman's Cove,1002017,0,0,0,0,0,0,0,100
Fortune,1002018,5.4,5.4,2.7,0,0,0,0,94.6
Grand Bank,1002019,0.5,0.5,0.5,0,0,0,0,99.8
Garnish,1002021,3.7,3.7,3.7,0,0,0,0,96.3
"Division No.  2, Subd. D",1002022,0,0,0,0,0,0,0,100
Winterland,1002023,5.3,0,0,0,0,0,2.7,92
Marystown,1002024,1,0.8,0.5,0.3,0,0,0.2,99
Fox Cove-Mortier,1002025,0,0,0,0,0,0,0,98
"Division No.  2, Subd. I",1002026,0,0,0,0,0,0,0,96.9
Bay L'Argent,1002027,0,0,0,0,0,0,0,100
"Division No.  2, Subd. J",1002029,,,,,,,,
Grand Le Pierre,1002030,0,0,0,0,0,0,0,100
"Division No.  2, Subd. C",1002031,0,0,0,0,0,0,0,100
Rushoon,1002033,0,0,0,0,0,0,0,100
Parkers Cove,1002034,0,0,0,0,0,0,0,100
Terrenceville,1002036,0,0,0,0,0,0,0,100
Red Harbour,1002037,0,0,0,0,0,0,0,100
English Harbour East,1002039,0,0,0,0,0,0,0,100
Baine Harbour,1002040,0,0,0,0,0,0,0,100
St. Bernard's-Jacques Fontaine,1002041,2.3,0,0,0,0,0,0,96.6
"Division No.  2, Subd. L",1002044,,,,,,,,
"Division No.  2, Subd. K",1002048,8.2,8.2,6.4,1.8,0,0,0,91.8
Little Bay East,1002055,0,0,0,0,0,0,0,91.7
"Division No.  3, Subd. A",1003001,,,,,,,,
Rencontre East,1003002,0,0,0,0,0,0,0,100
St. Jacques-Coomb's Cove,1003003,0,0,0,0,0,0,0,99.2
Belleoram,1003004,0,0,0,0,0,0,0,100
Pool's Cove,1003005,0,0,0,0,0,0,0,94.1
"Division No.  3, Subd. B",1003006,,,,,,,,
Harbour Breton,1003008,3.4,1.7,0,1,0,0,1.4,96.6
"Division No.  3, Subd. C",1003009,0,0,0,0,0,0,0,100
Seal Cove (Fortune Bay),1003010,0,0,0,0,0,0,0,100
Hermitage-Sandyville,1003011,0,0,0,0,0,0,0,98.8
Gaultois,1003012,0,0,0,0,0,0,0,100
"Division No.  3, Subd. D",1003014,31,31,31,0,0,0,0,69
Milltown-Head of Bay d'Espoir,1003018,10.7,10.7,7.1,0,0,0,0,89.3
St. Alban's,1003019,27.7,26.5,25.6,0.8,0,0,1.3,72.7
Morrisville,1003020,18.8,0,0,0,0,0,0,81.3
"Division No.  3, Subd. E",1003021,0,0,0,0,0,0,0,100
"Division No.  3, Subd. F",1003024,0,0,0,0,0,0,0,100
Ramea,1003026,4.1,2.7,2.7,0,0,0,0,97.3
Burgeo,1003028,17.3,16.9,13.9,2.2,0,0,0.9,82.7
"Division No.  3, Subd. H",1003031,7.9,7.1,4.7,0,0,0,0,91.3
Isle aux Morts,1003032,14,14,14,0,0,0,0,86
Burnt Islands,1003033,2.9,2.9,2.9,0,0,0,0,97.1
Channel-Port aux Basques,1003034,3.7,3.7,2,1.6,0.3,0,0,96.3
"Division No.  3, Subd. I",1003038,0,0,0,0,0,0,0,100
"Division No.  3, Subd. J",1003042,,,,,,,,
Rose Blanche-Harbour le Cou,1003045,5.4,5.4,0,5.4,0,0,0,94.6
Samiajij Miawpukek,1003801,84.7,84.7,84.2,0,0,0,1.1,15.3
"Division No.  4, Subd. A",1004001,5.3,4.6,4.3,0,0,0,0,94.7
"Division No.  4, Subd. B",1004006,31.1,25,23.7,1.8,0,0,6.1,68.4
"Division No.  4, Subd. C",1004011,70.8,44.2,44.2,0,0,0,25.8,28.3
St. George's,1004013,66.2,56.1,55.3,0,0,0,9.2,33.8
"Division No.  4, Subd. D",1004016,51,49.4,48.1,1.2,0,0,1.6,48.6
Gallants,1004017,33.3,33.3,33.3,0,0,0,0,66.7
Stephenville Crossing,1004018,55.1,50.2,48.2,1,1,0,5.3,44.9
Stephenville,1004019,38.4,36.6,34.6,1.7,0.4,0.2,1.7,61.6
Kippens,1004020,47.1,43.2,40.7,1.7,1.1,0.6,3.1,52.9
Port au Port East,1004021,46.5,43,41.9,0,0,0,4.7,53.5
"Division No.  4, Subd. E",1004022,53.2,46.1,44.7,1.4,0,0,7.2,46.8
Cape St. George,1004033,64,60.4,57.9,0,2.4,0,3.7,36.6
Lourdes,1004037,61.6,57.6,57.6,0,0,0,4,38.4
Port au Port West-Aguathuna-Felix Cove,1004042,34.7,33.3,33.3,0,0,0,0,65.3
"Division No.  5, Subd. A",1005001,42.4,37.3,35.6,0,0,0,3.4,57.6
"Division No.  5, Subd. G",1005003,13.8,9.6,7.4,2.1,0,0,5.3,86.2
Deer Lake,1005004,14.3,13.4,10.8,1.3,1.5,0.2,0.6,85.7
Jackson's Arm,1005005,16.7,12.1,9.1,3,0,0,0,84.8
Howley,1005006,0,0,0,0,0,0,0,96.9
"Division No.  5, Subd. E",1005007,12.1,12.1,12.1,0,0,0,0,90.9
Hampden,1005008,7.5,7.5,5.4,0,0,0,0,92.5
Reidville,1005009,15.6,12.3,11.5,0,0,0,0,84.4
"Division No.  5, Subd. F",1005010,21.5,20.1,17.4,3.4,0,0,0,78.5
Steady Brook,1005011,21.5,19,16.5,0,0,0,5.1,77.2
Pasadena,1005012,19.9,18.7,15.9,2,0.9,0,1,80.1
Cormack,1005014,16,16,11,6,0,0,0,84
Gillams,1005015,38.2,37.3,37.3,0,0,0,0,61.8
"Division No.  5, Subd. C",1005016,33.3,28.6,28.6,0,0,0,0,66.7
Massey Drive,1005017,27.1,25.2,21.2,3.4,0,0,1.9,72.9
Corner Brook,1005018,24.8,22,19.9,1.3,0.8,0.5,2.3,75.1
"Division No.  5, Subd. D",1005019,,,,,,,,
Humber Arm South,1005020,60.3,53.1,51.1,2.3,0,0.7,6.5,40.1
McIvers,1005022,57.4,47,45.2,0,0,0,9.6,42.6
Cox's Cove,1005023,39.7,36.5,35.7,0,0,0,3.2,60.3
Lark Harbour,1005024,30.3,29.2,28.1,0,0,0,2.2,69.7
Meadows,1005025,40.4,37.4,37.4,0,0,0,2,59.6
Hughes Brook,1005028,29.4,27.5,21.6,0,0,0,0,70.6
Irishtown-Summerside,1005030,33.8,29.8,28.4,0,0,0,4,66.7
Mount Moriah,1005033,32.9,28.6,25.7,2.9,0,0,3.6,67.1
York Harbour,1005035,42,32.1,32.1,0,0,0,9.9,58
"Division No.  6, Subd. D",1006001,4,4,0,2.4,0,0,0,96.8
Norris Arm,1006003,6.3,4.9,2.8,0,0,0,1.4,93.7
"Division No.  6, Subd. E",1006008,24.1,20.7,17.2,0,0,0,0,72.4
Gander,1006009,7.6,7.1,5.4,1.3,0.3,0,0.4,92.4
Appleton,1006011,18.5,16.9,15.4,2.3,0,0,0,82.3
Glenwood,1006012,20.9,18.9,14.9,4.7,0,0,2,78.4
"Division No.  6, Subd. C",1006014,5,5,3.3,0,0,0,0,93.3
Northern Arm,1006015,7.1,7.1,7.1,0,0,0,0,91.8
Grand Falls-Windsor,1006017,6.5,6.1,4.6,0.8,0.8,0,0.3,93.6
Bishop's Falls,1006019,6.5,5.1,4.6,0.5,0,0,1.3,93.5
Peterview,1006021,2.8,2.1,2.1,0,0,0,0,97.2
Botwood,1006022,3.6,3.2,2.4,0,0.4,0,0.4,96.2
Badger,1006026,11.4,11.4,11.4,0,0,0,0,87.9
Millertown,1006028,0,0,0,0,0,0,0,96
"Division No.  6, Subd. A",1006029,23.1,23.1,0,0,15.4,0,0,76.9
Buchans,1006031,1.6,0,0,0,0,0,0,98.4
"Division No.  7, Subd. M",1007001,1.1,0.8,0.8,0,0,0,0,99.2
"Division No.  7, Subd. L",1007006,3.4,2.1,0,0,0,0,0,96.6
"Division No.  7, Subd. K",1007009,3.9,3.9,2.2,1.3,0,0,0,95.7
Clarenville,1007013,2.8,2.6,1.1,1,0.6,0,0,97.1
"Division No.  7, Subd. J",1007014,0,0,0,0,0,0,0,99.1
Trinity (Trinity Bay),1007015,0,0,0,0,0,0,0,100
Port Rexton,1007016,3.8,3.8,0,0,0,0,0,97.5
"Division No.  7, Subd. I",1007018,0,0,0,0,0,0,0,100
Elliston,1007020,0,0,0,0,0,0,0,100
Trinity Bay North,1007022,1.2,0.9,0.9,0,0,0,0,99.1
Bonavista,1007023,2.1,1.9,0.8,1.3,0,0,0,97.9
"Division No.  7, Subd. G",1007024,0,0,0,0,0,0,0,100
Keels,1007025,,,,,,,,
Duntara,1007026,,,,,,,,
King's Cove,1007027,0,0,0,0,0,0,0,100
"Division No.  7, Subd. F",1007028,1.8,1.2,0,0,0,0,0,97.6
"Division No.  7, Subd. E",1007031,1,1,0.6,0,0,0,0,99
Musgravetown,1007032,6.5,5.6,5.6,0,0,0,0,94.4
Port Blandford,1007036,2,2,2,0,0,0,0,98
Traytown,1007037,0,0,0,0,0,0,0,98.6
"Division No.  7, Subd. D",1007038,0,0,0,0,0,0,0,97.5
Sandy Cove,1007039,10.5,10.5,0,0,0,0,0,89.5
Terra Nova,1007040,0,0,0,0,0,0,0,95
Happy Adventure,1007041,0,0,0,0,0,0,0,100
Eastport,1007042,0,0,0,0,0,0,0,98
Sandringham,1007043,7.1,4.8,0,4.8,0,0,0,97.6
Glovertown,1007044,6.4,6.4,3.2,1.3,1.9,0,0,93.6
"Division No.  7, Subd. N",1007045,0,0,0,0,0,0,0,100
Salvage,1007046,0,0,0,0,0,0,0,100
Gambo,1007047,3.3,3,2.2,0,0.5,0,0,96.4
St. Brendan's,1007048,0,0,0,0,0,0,0,95
Hare Bay,1007049,2.2,2.2,2.2,0,0,0,0,97.3
Centreville-Wareham-Trinity,1007050,0.9,0,0,0,0,0,0,99.5
"Division No.  7, Subd. B",1007051,,,,,,,,
Greenspond,1007054,0,0,0,0,0,0,0,98.1
"Division No.  7, Subd. A",1007056,0,0,0,0,0,0,0,100
Dover,1007057,0,0,0,0,0,0,0,98.4
New-Wes-Valley,1007060,1.5,1.5,0.5,0,0,0,0,98.7
Indian Bay,1007067,0,0,0,0,0,0,0,100
"Division No.  8, Subd. M",1008001,0,0,0,0,0,0,0,100
Lumsden,1008004,1.8,0,0,0,0,0,0,98.2
Musgrave Harbour,1008006,3.3,2.7,0,1.6,0,0,0,96.7
