CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
"Division No.  1, Subd. V",1001101,50,0
Portugal Cove South,1001105,50,60
Trepassey,1001113,65.5172,72.7273
St. Shott's,1001120,40,0
"Division No.  1, Subd. U",1001124,46.6102,43.5644
Cape Broyle,1001126,44.2308,38.4615
Renews-Cappahayden,1001131,48.5714,50
Fermeuse,1001136,53.5714,52.1739
Aquaforte,1001144,50,50
Ferryland,1001149,64,64.7059
"Division No.  1, Subd. W",1001155,67.6471,58.3333
St. Vincent's-St. Stephen's-Peter's River,1001169,40,41.6667
Gaskiers-Point La Haye,1001174,43.75,40
St. Mary's,1001178,50,50
Riverhead,1001181,68.75,75
Admirals Beach,1001186,33.3333,0
St. Joseph's,1001192,60,75
Mount Carmel-Mitchells Brook-St. Catherine's,1001197,51.1628,50
"Division No.  1, Subd. X",1001203,46,44.4444
Colinet,1001207,50,50
"Division No.  1, Subd. C",1001214,40,50
Branch,1001219,47.0588,57.1429
Point Lance,1001225,57.1429,75
St. Bride's,1001228,57.5,62.5
"Division No.  1, Subd. B",1001234,57.5,53.125
Placentia,1001240,51.4599,49.345
Fox Harbour,1001254,58.6207,52.381
"Division No.  1, Subd. A",1001259,44.898,46.1538
Long Harbour-Mount Arlington Heights,1001263,68.1818,62.5
Southern Harbour,1001267,62.963,65
Arnold's Cove,1001270,56.5217,58.9744
Come By Chance,1001274,52.9412,50
Sunnyside,1001277,51.2821,37.931
Chance Cove,1001281,60,66.6667
Norman's Cove-Long Cove,1001285,46.1538,44.4444
Chapel Arm,1001289,51.2821,48.4848
"Division No.  1, Subd. Y",1001293,50.4274,49.4737
Whitbourne,1001298,47.7273,45.8333
"Division No.  1, Subd. E",1001304,50,47.0588
Whiteway,1001308,47.0588,50
Heart's Delight-Islington,1001312,49.1803,50
Heart's Desire,1001316,33.3333,28.5714
"Division No.  1, Subd. F",1001321,48.7179,53.3333
Heart's Content,1001325,52.6316,53.3333
New Perlican,1001328,66.6667,50
Winterton,1001332,58.0645,56.5217
Hant's Harbour,1001335,58.0645,43.4783
"Division No.  1, Subd. G",1001339,49.3151,52.5
Old Perlican,1001343,50.9434,51.9231
Bay de Verde,1001347,62.5,66.6667
Small Point-Adam's Cove-Blackhead-Broad Cove,1001352,51.2821,44.1176
"Division No.  1, Subd. H",1001357,45.8333,36.3636
Salmon Cove,1001361,52.9412,52.9412
Victoria,1001365,50.7463,51.4019
Carbonear,1001370,50.2591,47.4026
"Division No.  1, Subd. I",1001374,50,44.4444
Bryant's Cove,1001375,58.3333,65
Harbour Grace,1001379,50.2092,46.114
Upper Island Cove,1001385,49.1379,45.4545
Bishop's Cove,1001394,48,41.1765
Spaniard's Bay,1001396,54.1667,52.0231
Bay Roberts,1001409,48.7226,45.8422
"Division No.  1, Subd. L",1001415,45.7143,48.2759
"Division No.  1, Subd. M",1001421,57.8947,54.878
North River,1001426,46.8085,46.3415
Clarke's Beach,1001429,52.381,51.4019
South River,1001434,53.9683,53.7037
Cupids,1001437,54.717,51.2195
"Division No.  1, Subd. N",1001441,52.5,55.8824
Brigus,1001446,50,52.5
"Division No.  1, Subd. O",1001452,57.971,50
Colliers,1001456,53.0612,50
Conception Harbour,1001461,45.8333,32.2581
Avondale,1001464,50.9091,47.619
Harbour Main-Chapel's Cove-Lakeview,1001469,53.8462,46.5116
Holyrood,1001472,49.7738,47.4227
Conception Bay South,1001485,50.7071,49.8256
"Division No.  1, Subd. R",1001490,46.1538,42.8571
Wabana,1001494,48.8889,50.6329
Portugal Cove-St. Philip's,1001504,52.3193,51.5222
Pouch Cove,1001505,51.7766,50.838
Flatrock,1001507,48.6911,44.5087
Torbay,1001509,51.5116,50.5792
Logy Bay-Middle Cove-Outer Cove,1001511,50.5703,49.1597
Bauline,1001512,44.4444,41.9355
Paradise,1001517,49.9629,48.7409
St. John's,1001519,50.4444,49.4385
Mount Pearl,1001542,50.2737,49.0884
Petty Harbour-Maddox Cove,1001551,52.2124,50
Bay Bulls,1001557,55.3333,52.3077
Witless Bay,1001559,48.2759,44.5946
"Division No.  1, Subd. D",1001565,45.4545,55.5556
"Division No.  2, Subd. E",1002001,53.3333,50
Lewin's Cove,1002002,53.2258,45.4545
Burin,1002005,49.3151,46.3687
"Division No.  2, Subd. F",1002006,53.8462,58.3333
St. Lawrence,1002008,52,50.6024
Lawn,1002011,52.6316,51.0638
Lamaline,1002012,60,64.7059
Lord's Cove,1002013,50,42.8571
Point May,1002014,53.3333,66.6667
Point au Gaul,1002015,40,0
"Division No.  2, Subd. H",1002016,61.1111,66.6667
Frenchman's Cove,1002017,54.5455,60
Fortune,1002018,55.8824,59.2593
Grand Bank,1002019,47.561,44.7761
Garnish,1002021,52.0833,48.8372
"Division No.  2, Subd. D",1002022,61.9048,55.5556
Winterland,1002023,48.7179,48.3871
Marystown,1002024,51.4943,47.2622
Fox Cove-Mortier,1002025,62.5,61.9048
"Division No.  2, Subd. I",1002026,54.5455,42.8571
Bay L'Argent,1002027,50,50
Grand Le Pierre,1002030,75,66.6667
"Division No.  2, Subd. C",1002031,57.7778,53.125
Rushoon,1002033,52,40
Parkers Cove,1002034,50,52.9412
Terrenceville,1002036,60.6061,57.6923
Red Harbour,1002037,55.5556,40
English Harbour East,1002039,38.4615,44.4444
Baine Harbour,1002040,61.5385,63.6364
St. Bernard's-Jacques Fontaine,1002041,65.5172,50
"Division No.  2, Subd. K",1002048,41.8605,38.2353
Little Bay East,1002055,57.1429,40
Rencontre East,1003002,55.5556,57.1429
St. Jacques-Coomb's Cove,1003003,52.8302,52.1739
Belleoram,1003004,69.5652,72.7273
Pool's Cove,1003005,58.3333,57.1429
Harbour Breton,1003008,49.6644,44.4444
"Division No.  3, Subd. C",1003009,46.1538,80
Seal Cove (Fortune Bay),1003010,50,58.3333
Hermitage-Sandyville,1003011,57.1429,63.8889
Gaultois,1003012,100,100
"Division No.  3, Subd. D",1003014,46.1538,46.1538
Milltown-Head of Bay d'Espoir,1003018,54.5455,51.1111
St. Alban's,1003019,49.4624,48.75
Morrisville,1003020,44.4444,42.8571
