CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
"Kitikmeot, Unorganized",6208098,0,,0,0,431190.46,0
Taloyoak,6208087,934,-9.2,251,203,35.38,26.4
Gjoa Haven,6208081,1349,1.9,339,292,28.55,47.3
Cambridge Bay,6208073,1760,-0.3,701,571,195.78,9
Umingmaktok,6208068,0,,0,0,99.95,0
Bathurst Inlet,6208065,0,,0,0,13.84,0
Kugluktuk,6208059,1382,-7.3,438,397,538.99,2.6
Kugaaruk,6208047,1033,10.7,225,214,5.06,204.2
"Kivalliq, Unorganized",6205033,18,,4,4,433059.48,0
Naujaat,6205027,1225,13.2,246,223,406.19,3
Baker Lake,6205023,2061,-0.4,661,577,179.54,11.5
Chesterfield Inlet,6205019,397,-9.2,131,116,139.49,2.8
Rankin Inlet,6205017,2975,4.7,1026,826,20.03,148.5
Whale Cove,6205016,470,8,128,116,273.89,1.7
Arviat,6205015,2864,7.8,694,632,126.14,22.7
Coral Harbour,6205014,1035,16.2,303,225,126.39,8.2
"Qikiqtaaluk, Unorganized",6204030,0,,0,0,968988.38,0
Grise Fiord,6204025,144,11.6,64,58,332.9,0.4
Resolute,6204022,183,-7.6,89,66,115.02,1.6
Pond Inlet,6204020,1555,-3.8,466,365,170.83,9.1
Nanisivik,6204019,0,,0,0,165.49,0
Arctic Bay,6204018,994,14.5,239,218,245.16,4.1
Clyde River,6204015,1181,12.2,278,258,103.38,11.4
Igloolik,6204012,2049,17.5,468,394,104.86,19.5
Hall Beach,6204011,891,5.1,205,197,16.36,54.5
Qikiqtarjuaq,6204010,593,-0.8,193,164,130.8,4.5
Pangnirtung,6204009,1504,1.6,456,396,7.98,188.5
Cape Dorset,6204007,1396,-3.1,416,362,9.89,141.2
Kimmirut,6204005,426,9.5,150,116,2.3,184.9
Iqaluit,6204003,7429,-4,3297,2708,51.58,144
Sanikiluaq,6204001,1010,14.5,252,228,109.68,9.2
"Region 6, Unorganized",6106097,273,-9.6,314,132,182097.01,0
Yellowknife,6106023,20340,3.9,7975,7519,103.37,196.8
Dettah,6106021,192,-12.3,85,79,1.12,171.9
"Region 5, Unorganized",6105097,37,19.4,54,14,151099.55,0
Reliance,6105026,0,,1,0,21,0
Lutselk'e,6105020,333,9.9,139,129,42.96,7.8
Fort Resolution,6105018,412,-12.3,223,167,452.87,0.9
Hay River,6105016,3169,-10.2,1541,1274,122.4,25.9
Salt Plains 195,6105004,5,,37,4,0.35,14.3
Enterprise,6105003,75,-29.2,51,33,305.58,0.2
Fort Smith,6105001,2248,-11.6,1009,881,91.21,24.6
"Region 4, Unorganized",6104097,30,-36.2,78,13,192346.47,0
Wrigley,6104044,117,-1.7,63,42,53.93,2.2
Fort Simpson,6104038,1100,-8.5,572,452,77.89,14.1
Hay River Dene 1,6104017,259,-16.2,116,90,134,1.9
Fort Providence,6104014,618,-11.1,292,256,255.49,2.4
Jean Marie River,6104013,63,-18.2,37,33,37.5,1.7
Nahanni Butte,6104010,81,-6.9,39,33,79.42,1
Fort Liard,6104009,468,-6.4,209,170,67.61,6.9
Sambaa K’e,6104006,97,10.2,49,49,118.01,0.8
Kakisa,6104005,39,8.3,19,14,95.14,0.4
"Region 3, Unorganized",6103097,0,,0,0,24639.9,0
Wekweètì,6103052,109,-15.5,55,29,14.71,7.4
Gamètì,6103049,252,-9.4,104,82,9.04,27.9
Whatì,6103034,543,15.5,162,143,58.33,9.3
Behchokò,6103031,1746,-6.8,541,460,74.96,23.3
"Region 2, Unorganized",6102063,0,,0,0,217909.79,0
Colville Lake,6102012,110,-14.7,43,30,126.14,0.9
Fort Good Hope,6102009,507,-1.7,231,195,47.25,10.7
Norman Wells,6102007,673,-13.5,404,269,82.09,8.2
Tulita,6102005,396,-17,160,134,52.28,7.6
Déline,6102003,573,7.5,226,190,79.39,7.2
Ulukhaktok,6101095,408,3,159,134,120.71,3.4
"Region 1, Unorganized",6101063,0,-100,0,0,356369.26,0
Sachs Harbour,6101041,104,1,52,38,272.22,0.4
Tuktoyaktuk,6101036,937,4.3,334,285,12.66,74
Aklavik,6101025,536,-9.2,274,216,12.29,43.6
Inuvik,6101017,3137,-3.3,1464,1223,62.68,50
Fort McPherson,6101015,647,-7.6,318,255,53.83,12
Paulatuk,6101014,298,12.5,100,81,63.58,4.7
Tsiigehtchic,6101010,138,-19.8,73,59,47.89,2.9
North Slope,6001065,0,,0,0,17788.41,0
"Whitehorse, Unorganized",6001060,411,26.1,239,203,5032.35,0.1
Macpherson-Grizzly Valley,6001059,1540,23.7,865,713,1834.28,0.8
Marsh Lake,6001058,746,7.2,527,377,817.11,0.9
Teslin,6001057,0,,0,0,25.93,0
Ibex Valley,6001055,523,27.3,261,225,207.13,2.5
Keno Hill,6001052,20,0,52,16,53.88,0.4
Stewart Crossing,6001050,10,-41.2,20,5,28.68,0.3
Destruction Bay,6001049,40,-27.3,32,16,13.9,2.9
Carcross,6001048,317,5.3,229,168,15.56,20.4
Johnsons Crossing,6001047,10,0,12,3,21.98,0.5
Swift River,6001046,5,,3,3,22.88,0.2
"Yukon, Unorganized",6001045,1496,7.8,1184,735,445269.81,0
Mt. Lorne,6001044,468,7.1,246,222,159.23,2.9
Old Crow,6001043,236,6.8,168,116,13.51,17.5
Beaver Creek,6001042,78,-16.1,61,40,26.66,2.9
Pelly Crossing,6001041,316,-10.5,159,139,32.28,9.8
Burwash Landing,6001039,64,-11.1,52,44,30.44,2.1
Champagne Landing 10,6001038,22,10,30,17,4.82,4.6
Ross River,6001037,355,21.2,184,160,20.48,17.3
Tagish,6001036,311,24.9,413,164,45.26,6.9
Upper Liard,6001032,130,4,63,55,5.56,23.4
Moosehide Creek 2,6001031,0,,0,0,8.5,0
Dawson,6001029,1577,14.7,836,770,30.91,51
Mayo,6001022,188,-6,149,108,0.98,191.4
Kloo Lake,6001019,0,,2,1,33.45,0
Haines Junction,6001018,688,12.2,380,311,34.3,20.1
Carmacks,6001012,588,19.3,302,263,36.87,15.9
Lake Laberge 1,6001010,24,-4,13,10,1.17,20.4
Whitehorse,6001009,28201,12.4,11970,11436,413.94,68.1
Carcross 4,6001008,37,5.7,16,16,0.58,64.1
Teslin Post 13,6001007,19,-36.7,11,10,1.17,16.2
Teslin,6001006,239,-6.3,144,126,3.77,63.3
Faro,6001004,440,26.4,423,210,199.89,2.2
Watson Lake,6001003,1133,4.6,564,499,109.77,10.3
