CSDNAME,CSDUID,visible minority population  (%)
Iqaluit (6204003) CY,6204003,12.4487
Yellowknife (6106023) CY,6106023,20.0151
Whitehorse (6001009) CY,6001009,16.8079
Peace River C (5955042) RDA,5955042,2.1026
Peace River B (5955040) RDA,5955040,1.6749
Fort St. John (5955034) CY,5955034,16.2258
Dawson Creek (5955014) CY,5955014,13.546
Prince George (5953023) CY,5953023,11.636
Bulkley-Nechako A (5951051) RDA,5951051,1.4376
Smithers (5951043) T,5951043,9.981
Terrace (5949011) CY,5949011,10.5708
Kitimat (5949005) DM,5949005,8.3435
Prince Rupert (5947012) CY,5947012,15.2709
Cariboo A (5941019) RDA,5941019,2.9197
Cariboo G (5941015) RDA,5941015,1.8027
Quesnel (5941013) CY,5941013,7.2277
Williams Lake (5941009) CY,5941009,8.9211
Columbia-Shuswap C (5939037) RDA,5939037,2.3662
Salmon Arm (5939032) CY,5939032,5.478
Revelstoke (5939019) CY,5939019,6.5974
Armstrong (5937028) CY,5937028,3.5225
Spallumcheen (5937024) DM,5937024,1.4151
Vernon (5937014) CY,5937014,8.025
Coldstream (5937010) DM,5937010,4.9113
Tsinstikeptum 9 (5935802) IRI,5935802,3.8786
West Kelowna (5935029) CY,5935029,7.3287
Peachland (5935018) DM,5935018,3.8995
Lake Country (5935016) DM,5935016,6.368
Kelowna (5935010) CY,5935010,13.9678
Kamloops (5933042) CY,5933042,10.8344
Merritt (5933006) CY,5933006,9.1988
Whistler (5931020) DM,5931020,12.7374
Squamish (5931006) DM,5931006,15.2899
Sechelt (5929011) DM,5929011,12.0641
Powell River (5927008) CY,5927008,6.1217
Comox Valley C (Puntledge - Black Creek) (5926024) RDA,5926024,2.6403
Comox Valley B (Lazo North) (5926022) RDA,5926022,3.3198
Comox Valley A (5926021) RDA,5926021,4.345
Courtenay (5926010) CY,5926010,8.3034
Comox (5926005) T,5926005,4.9197
Campbell River (5924034) CY,5924034,5.804
Port Alberni (5923008) CY,5923008,6.2639
Nanaimo G (5921034) RDA,5921034,3.9092
Nanaimo F (5921032) RDA,5921032,2.8083
Nanaimo E (5921030) RDA,5921030,3.6458
