CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
1001186,97.0,135.0,4.0,24.2,-28.1,50.0,10.0,30.0,76.0,80.0,48.0,62.0,2.0,-5.0,-22.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.55,33.33
1001144,74.0,80.0,10.7,6.88,-7.5,40.0,15.0,30.0,63.0,71.0,43.0,41.0,1.7,-11.3,4.9,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,54.05,50.0
1001270,964.0,949.0,183.8,5.25,1.6,475.0,260.0,460.0,547.0,537.0,434.0,392.0,2.2,1.9,10.7,375.0,0.0,0.0,25.0,30.0,0.0,0.0,5.0,435.0,935.0,50.0,50.0,40.0,10.0,0.0,0.0,,,,,,,,,,,,,,,5.35,5.35,4.28,1.07,0.0,0.0,86.21,0.0,0.0,5.75,6.9,0.0,0.0,1.15,,,,,,,,,,,,,,49.27,56.52
1001464,584.0,641.0,19.7,29.69,-8.9,290.0,140.0,275.0,346.0,373.0,286.0,294.0,2.0,-7.2,-2.7,255.0,5.0,20.0,0.0,5.0,0.0,0.0,0.0,285.0,565.0,30.0,15.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,5.31,2.65,1.77,0.0,0.0,0.0,89.47,1.75,7.02,0.0,1.75,0.0,0.0,0.0,,,,,,,,,,,,,,49.66,50.91
1001512,412.0,452.0,25.7,16.05,-8.8,215.0,80.0,180.0,172.0,174.0,161.0,163.0,2.6,-1.1,-1.2,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,315.0,25.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,7.94,7.94,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,52.18,44.44
1001557,1566.0,1500.0,51.2,30.6,4.4,765.0,415.0,750.0,631.0,589.0,597.0,566.0,2.6,7.1,5.5,555.0,0.0,0.0,15.0,25.0,0.0,0.0,5.0,600.0,1565.0,30.0,30.0,25.0,10.0,0.0,0.0,,,,,,,,,,,,,,,1.92,1.92,1.6,0.64,0.0,0.0,92.5,0.0,0.0,2.5,4.17,0.0,0.0,0.83,,,,,,,,,,,,,,48.85,55.33
1001409,5974.0,6012.0,243.7,24.51,-0.6,2935.0,1335.0,2740.0,2803.0,2658.0,2490.0,2413.0,2.4,5.5,3.2,2240.0,80.0,60.0,45.0,55.0,0.0,5.0,5.0,2490.0,5935.0,115.0,100.0,30.0,55.0,15.0,0.0,5935.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,1.94,1.68,0.51,0.93,0.25,0.0,89.96,3.21,2.41,1.81,2.21,0.0,0.2,0.2,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.41,49.13,48.72
1001347,347.0,392.0,26.2,13.24,-11.5,175.0,100.0,160.0,200.0,216.0,157.0,173.0,2.2,-7.4,-9.2,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.43,62.5
1001394,252.0,287.0,132.4,1.9,-12.2,130.0,60.0,125.0,147.0,147.0,115.0,125.0,2.2,0.0,-8.0,105.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,115.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.3,0.0,0.0,8.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.59,48.0
1001219,177.0,228.0,10.9,16.18,-22.4,90.0,40.0,85.0,142.0,174.0,96.0,108.0,1.8,-18.4,-11.1,95.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,,,,,,,,,,,,,,50.85,47.06
