CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km),Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%),Indigenous identity (%),Single Indigenous responses (%),First Nations (%),Métis (%),Inuit (%),Multiple Indigenous responses (%),Indigenous responses nie (%),Non-Indigenous identity (%),visible minority population  (%),Aggregate after-tax income of households
Conception Bay South,1001485,27168.0,3.7,11364.0,10711.0,59.72,454.9,50.7071,49.8256,3.6,3.3,2.0,0.9,0.5,0.1,0.2,96.4,1.028,952000000.0
Paradise,1001517,22957.0,7.3,9331.0,8813.0,29.67,773.8,49.9629,48.7409,3.8,3.4,2.2,0.9,0.3,0.0,0.4,96.2,1.5132,886000000.0
Mount Pearl,1001542,22477.0,-2.8,10685.0,9931.0,15.65,1436.2,50.2737,49.0884,2.9,2.8,1.8,0.6,0.4,0.1,0.1,97.1,2.2814,798000000.0
Massey Drive,1005017,1606.0,-1.6,670.0,626.0,2.45,655.1,50.5102,50.8287,27.1,25.2,21.2,3.4,0.0,0.0,1.9,72.9,,60800000.0
Charlottetown,1102075,38809.0,7.5,18364.0,17184.0,44.27,876.6,50.7918,50.4057,2.0,1.9,1.3,0.5,0.1,0.0,0.1,98.0,21.7686,1196000000.0
Stratford,1102080,10927.0,12.5,4667.0,4307.0,22.67,482.0,51.0566,50.2757,1.5,1.5,1.0,0.4,0.1,0.0,0.0,98.5,14.424,384000000.0
Kensington,1103014,1812.0,11.9,897.0,865.0,3.17,571.6,52.3256,53.1646,2.5,2.5,0.8,1.4,0.0,0.0,0.0,97.5,,54800000.0
Summerside,1103025,16001.0,7.8,7393.0,7097.0,28.21,567.2,49.9692,49.794,2.1,1.9,0.9,0.7,0.3,0.1,0.2,97.9,8.9418,472000000.0
Yarmouth,1202006,6829.0,4.8,3569.0,3259.0,10.57,646.3,48.398,47.9042,14.3,14.0,2.9,11.0,0.2,0.3,0.0,85.7,8.4528,177600000.0
Digby,1203006,2001.0,-2.9,1133.0,1030.0,3.16,634.0,52.3529,52.8571,8.2,7.9,3.7,4.2,0.0,0.0,0.0,91.6,,50600000.0
Bridgewater,1206004,8790.0,3.0,4493.0,4260.0,13.63,644.9,48.4772,48.6252,4.3,4.2,2.4,1.8,0.0,0.0,0.0,95.7,5.2972,252800000.0
Lunenburg,1206006,2396.0,5.9,1242.0,1089.0,4.04,593.3,49.5192,50.2825,1.4,1.4,0.5,0.9,0.0,0.0,0.0,98.9,,75200000.0
Wolfville,1207024,5057.0,20.5,2856.0,2441.0,6.46,783.3,50.3861,50.1188,4.4,4.1,2.7,1.2,0.2,0.0,0.3,95.6,12.6674,158000000.0
Amherst,1211011,9404.0,-0.1,4799.0,4480.0,12.07,779.4,48.9078,48.2094,3.0,2.8,1.6,1.0,0.0,0.0,0.0,97.0,4.9757,264500000.0
Stellarton,1212009,4007.0,-4.8,2017.0,1881.0,8.99,445.6,47.7157,47.6471,2.0,2.0,1.8,0.4,0.0,0.0,0.0,97.9,,123400000.0
New Glasgow,1212014,9471.0,4.4,4782.0,4445.0,9.96,951.3,47.958,48.5411,3.2,3.0,1.5,1.4,0.2,0.0,0.0,96.8,9.8423,286000000.0
Antigonish,1214002,4656.0,6.7,2675.0,2205.0,4.98,934.5,48.394,48.0519,4.0,3.8,1.3,2.4,0.0,0.0,0.0,96.0,,132000000.0
Oromocto,1303012,9045.0,-1.9,3897.0,3663.0,22.36,404.5,57.5665,58.4137,4.3,4.1,2.6,1.1,0.3,0.1,0.1,95.8,3.7305,305500000.0
Sussex,1305022,4440.0,3.7,2219.0,2065.0,8.9,498.9,47.3008,45.6647,2.1,2.1,0.8,1.2,0.0,0.0,0.0,98.0,,126400000.0
Riverview,1306020,20584.0,4.7,8797.0,8651.0,34.1,603.7,51.1121,51.354,1.9,1.9,1.2,0.6,0.0,0.0,0.0,98.1,6.4548,674000000.0
Moncton,1307022,79470.0,10.5,37318.0,35118.0,140.67,564.9,51.0278,50.6012,2.7,2.6,1.4,1.1,0.1,0.0,0.1,97.3,14.9151,2460000000.0
Fredericton,1310032,63116.0,7.5,29892.0,28478.0,133.93,471.3,50.9669,50.7439,3.5,3.3,2.5,0.7,0.2,0.0,0.1,96.5,14.005,2168000000.0
