CSDUID,CSDNAME,PRUID,province,csd_area_km2,ecozone,ecozone_coverage_pct,road_length_km,total_area_km2_csd,canopy_area_km2_csd,canopy_proportion_csd,total_area_km2_10m_buffer,canopy_area_km2_10m_buffer,canopy_proportion_10m_buffer,total_area_km2_20m_buffer,canopy_area_km2_20m_buffer,canopy_proportion_20m_buffer,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
1001485,Conception Bay South,10,Newfoundland and Labrador,61.90603882450637,Boreal Shield,100.0,248.29965609606987,61.15399197322788,16.98980659804746,27.782007437037453,4.783093034139678,0.4302486472021876,8.995197127282625,9.310530724557436,1.1549621135589614,12.404900942033688,27168.0,26199.0,454.9,59.72,3.7,13295.0,7350.0,14495.0,11364.0,10553.0,10711.0,9934.0,2.5,7.7,7.8,8190.0,120.0,105.0,2090.0,170.0,5.0,20.0,5.0,10710.0,26750.0,950.0,880.0,525.0,230.0,125.0,15.0,26750.0,275.0,45.0,45.0,85.0,30.0,10.0,35.0,0.0,0.0,0.0,0.0,10.0,26475.0,3.55,3.29,1.96,0.86,0.47,0.06,76.47,1.12,0.98,19.51,1.59,0.05,0.19,0.05,1.03,0.17,0.17,0.32,0.11,0.04,0.13,0.0,0.0,0.0,0.0,0.04,98.97,48.94,50.71
1001517,Paradise,10,Newfoundland and Labrador,32.522274401259295,Boreal Shield,100.0,163.82101289060313,32.13940073,7.364679309181318,22.914799723035205,3.065855883423088,0.096119753,3.1351686557206326,5.881956471358004,0.3182616474024395,5.410812693908979,22957.0,21389.0,773.8,29.67,7.3,11215.0,6725.0,13460.0,9331.0,8662.0,8813.0,8038.0,2.6,7.7,9.6,5775.0,125.0,70.0,2775.0,65.0,0.0,0.0,0.0,8815.0,22800.0,855.0,775.0,505.0,205.0,60.0,0.0,22800.0,345.0,95.0,45.0,75.0,45.0,40.0,15.0,0.0,10.0,0.0,0.0,0.0,22445.0,3.75,3.4,2.21,0.9,0.26,0.0,65.51,1.42,0.79,31.48,0.74,0.0,0.0,0.0,1.51,0.42,0.2,0.33,0.2,0.18,0.07,0.0,0.04,0.0,0.0,0.0,98.44,48.85,49.96
1001542,Mount Pearl,10,Newfoundland and Labrador,15.895362887579134,Boreal Shield,100.0,134.09738828917656,15.706477934744283,2.078826938359068,13.23547486,2.4838975746928846,0.085030834,3.4232826039460624,4.736927799281459,0.2091594722053546,4.415508976874883,22477.0,23120.0,1436.2,15.65,-2.8,10810.0,5970.0,11875.0,10685.0,10381.0,9931.0,9673.0,2.3,2.9,2.7,4505.0,735.0,920.0,3420.0,335.0,0.0,10.0,0.0,9935.0,22355.0,655.0,620.0,395.0,135.0,95.0,15.0,22355.0,510.0,50.0,100.0,125.0,115.0,0.0,70.0,35.0,0.0,10.0,0.0,0.0,21845.0,2.93,2.77,1.77,0.6,0.42,0.07,45.34,7.4,9.26,34.42,3.37,0.0,0.1,0.0,2.28,0.22,0.45,0.56,0.51,0.0,0.31,0.16,0.0,0.04,0.0,0.0,97.72,48.09,50.27
1005017,Massey Drive,10,Newfoundland and Labrador,2.7163330494414604,Boreal Shield,100.0,8.803405136796965,2.715033542300753,1.2910637195812775,47.55240403,0.1716779833746981,0.004256699,2.4794673124348865,0.3353388734575559,0.012732339,3.796857361751218,1606.0,1632.0,655.1,2.45,-1.6,790.0,495.0,980.0,670.0,624.0,626.0,610.0,2.6,7.4,2.6,395.0,10.0,0.0,220.0,0.0,0.0,0.0,0.0,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,1.6,0.0,35.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,49.19,50.51
1102075,Charlottetown,11,Prince Edward Island,45.58302942050059,Atlantic Maritime,100.0,307.1146849734802,44.55496600960552,7.884856507534717,17.696919588794742,5.665669033546604,0.4978507979241456,8.787149319459987,10.757699032849532,1.3754231638736916,12.785477263062688,38809.0,36094.0,876.6,44.27,7.5,18645.0,,,18364.0,17193.0,17184.0,16100.0,2.2,6.8,6.7,7485.0,1555.0,565.0,555.0,6700.0,45.0,25.0,255.0,17185.0,,,,,,,,37600.0,8185.0,2385.0,1895.0,1095.0,455.0,855.0,240.0,740.0,225.0,55.0,85.0,80.0,29410.0,,,,,,,43.56,9.05,3.29,3.23,38.99,0.26,0.15,1.48,21.77,6.34,5.04,2.91,1.21,2.27,0.64,1.97,0.6,0.15,0.23,0.21,78.22,48.04,
1102080,Stratford,11,Prince Edward Island,23.24077765410004,Atlantic Maritime,100.0,118.90835000620598,22.70442311381708,5.385418027565302,23.719686690863035,2.231020175639956,0.2432287726406379,10.902132365112704,4.318967185205375,0.735763012,17.03562403821105,10927.0,9711.0,482.0,22.67,12.5,5285.0,,,4667.0,4099.0,4307.0,3820.0,2.5,13.9,12.7,2820.0,375.0,155.0,30.0,880.0,45.0,0.0,5.0,4305.0,,,,,,,,10850.0,1565.0,325.0,705.0,180.0,25.0,85.0,60.0,40.0,45.0,30.0,50.0,0.0,9280.0,,,,,,,65.51,8.71,3.6,0.7,20.44,1.05,0.0,0.12,14.42,3.0,6.5,1.66,0.23,0.78,0.55,0.37,0.41,0.28,0.46,0.0,85.53,48.37,
1103014,Kensington,11,Prince Edward Island,3.2564522143183248,Atlantic Maritime,100.0,16.488055067320065,3.1877427740064896,0.4877262203212776,15.300049436180911,0.3064940536526898,0.021949874,7.161598676,0.5899417087927521,0.054607309,9.256390666747553,1812.0,1619.0,571.6,3.17,11.9,845.0,,,897.0,781.0,865.0,747.0,2.1,14.9,15.8,470.0,115.0,70.0,10.0,125.0,0.0,0.0,70.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.34,13.29,8.09,1.16,14.45,0.0,0.0,8.09,,,,,,,,,,,,,,46.63,
1103025,Summerside,11,Prince Edward Island,28.89017691750979,Atlantic Maritime,100.0,141.18544861940543,28.273341444560483,5.090626599813494,18.005040577872276,2.587955389047207,0.2052723311261197,7.931834219,4.937987933,0.5284122388980523,10.700962538345465,16001.0,14839.0,567.2,28.21,7.8,7590.0,,,7393.0,6953.0,7097.0,6532.0,2.2,6.3,8.6,3480.0,730.0,755.0,250.0,1355.0,35.0,10.0,475.0,7095.0,,,,,,,,15545.0,1390.0,480.0,170.0,130.0,355.0,80.0,20.0,105.0,0.0,15.0,15.0,30.0,14155.0,,,,,,,49.05,10.29,10.64,3.52,19.1,0.49,0.14,6.69,8.94,3.09,1.09,0.84,2.28,0.51,0.13,0.68,0.0,0.1,0.1,0.19,91.06,47.43,
1202006,Yarmouth,12,Nova Scotia,11.14263560622456,Atlantic Maritime,100.0,73.64220282947419,10.642094538156776,2.130722308613797,20.021644244694343,1.3285993791069248,0.1362351532886218,10.254043124737736,2.530070334482501,0.2951566553189252,11.665946645680757,6829.0,6518.0,646.3,10.57,4.8,3105.0,,,3569.0,3470.0,3259.0,3116.0,2.0,2.9,4.6,1435.0,400.0,145.0,200.0,1050.0,5.0,0.0,25.0,3260.0,,,,,,,,6625.0,560.0,85.0,45.0,255.0,50.0,0.0,0.0,20.0,0.0,15.0,0.0,60.0,6060.0,,,,,,,44.02,12.27,4.45,6.13,32.21,0.15,0.0,0.77,8.45,1.28,0.68,3.85,0.75,0.0,0.0,0.3,0.0,0.23,0.0,0.91,91.47,45.47,
1203006,Digby,12,Nova Scotia,3.290172658037343,Atlantic Maritime,100.0,26.717731569028945,3.1668539328089884,1.1706337572189902,36.96519580808838,0.4863440188715631,0.062640897,12.879956329084065,0.9229904951503904,0.1672795755415204,18.123650939034235,2001.0,2060.0,634.0,3.16,-2.9,900.0,,,1133.0,1145.0,1030.0,1036.0,1.8,-1.0,-0.6,565.0,35.0,30.0,35.0,360.0,0.0,0.0,0.0,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.85,3.4,2.91,3.4,34.95,0.0,0.0,0.0,,,,,,,,,,,,,,44.98,
