CSDUID,CSDNAME,province,Property Tax Revenue,Taxation and Utilities
1001485,Conception Bay South,Newfoundland and Labrador,,
1001517,Paradise,Newfoundland and Labrador,25155273,36264359
1001542,Mount Pearl,Newfoundland and Labrador,27522715,49212142
1005017,Massey Drive,Newfoundland and Labrador,1365795,1931453
1102075,Charlottetown,Prince Edward Island,,
1102080,Stratford,Prince Edward Island,6195800,6195800
1103014,Kensington,Prince Edward Island,1007776,1734556
1103025,Summerside,Prince Edward Island,11322813,49282283
1202006,Yarmouth,Nova Scotia,15292303,15292303
1203006,Digby,Nova Scotia,3331671,4002472
1206004,Bridgewater,Nova Scotia,21278310,24325693
1206006,Lunenburg,Nova Scotia,,
1207024,Wolfville,Nova Scotia,,
1211011,Amherst,Nova Scotia,,
1212009,Stellarton,Nova Scotia,,
1212014,New Glasgow,Nova Scotia,,
1214002,Antigonish,Nova Scotia,,
1303012,Oromocto,New Brunswick,,
1305022,Sussex,New Brunswick,,
1306020,Riverview,New Brunswick,,
1307022,Moncton,New Brunswick,,
1310032,Fredericton,New Brunswick,,
1314022,Saint-Quentin,New Brunswick,,
2409065,Price,Quebec,,
2411040,Trois-Pistoles,Quebec,,
2421045,Boischatel,Quebec,,
2423027,Québec,Quebec,,
2423057,L'Ancienne-Lorette,Quebec,,
2432040,Plessisville,Quebec,,
2437067,Trois-Rivières,Quebec,,
2439062,Victoriaville,Quebec,,
2441060,East Angus,Quebec,,
2442098,Richmond,Quebec,,
2443027,Sherbrooke,Quebec,,
2446035,Bedford,Quebec,,
2447017,Granby,Quebec,,
2447025,Waterloo,Quebec,,
2449075,Notre-Dame-du-Bon-Conseil,Quebec,,
2452035,Berthierville,Quebec,,
2452080,Saint-Gabriel,Quebec,,
2453050,Saint-Joseph-de-Sorel,Quebec,,
2453052,Sorel-Tracy,Quebec,,
2454025,Sainte-Madeleine,Quebec,,
2456083,Saint-Jean-sur-Richelieu,Quebec,,
2457005,Chambly,Quebec,,
2457020,Saint-Basile-le-Grand,Quebec,,
2457025,McMasterville,Quebec,,
2457030,Otterburn Park,Quebec,,
2457035,Mont-Saint-Hilaire,Quebec,,
2457040,Beloeil,Quebec,,
2458007,Brossard,Quebec,,
2458012,Saint-Lambert,Quebec,,
2458033,Boucherville,Quebec,,
2458037,Saint-Bruno-de-Montarville,Quebec,,
2458227,Longueuil,Quebec,,
2459010,Sainte-Julie,Quebec,,
2460005,Charlemagne,Quebec,,
2460013,Repentigny,Quebec,,
2461025,Joliette,Quebec,,
2461030,Notre-Dame-des-Prairies,Quebec,,
2461035,Saint-Charles-Borromée,Quebec,,
2464008,Terrebonne,Quebec,,
2464015,Mascouche,Quebec,,
2465005,Laval,Quebec,,
2466023,Montréal,Quebec,,
2466032,Westmount,Quebec,,
2466047,Montréal-Ouest,Quebec,,
2466058,Côte-Saint-Luc,Quebec,,
2466062,Hampstead,Quebec,,
2466072,Mont-Royal,Quebec,,
2466087,Dorval,Quebec,,
2466097,Pointe-Claire,Quebec,,
2466102,Kirkland,Quebec,,
2466107,Beaconsfield,Quebec,,
2466112,Baie-D'Urfé,Quebec,,
2466117,Sainte-Anne-de-Bellevue,Quebec,,
2466142,Dollard-Des Ormeaux,Quebec,,
2467015,La Prairie,Quebec,,
2467020,Candiac,Quebec,,
2467025,Delson,Quebec,,
2467030,Sainte-Catherine,Quebec,,
2467035,Saint-Constant,Quebec,,
2467050,Châteauguay,Quebec,,
2468030,Napierville,Quebec,,
2469055,Huntingdon,Quebec,,
2471033,Les Coteaux,Quebec,,
2471055,Pointe-des-Cascades,Quebec,,
2471060,L'Île-Perrot,Quebec,,
2471065,Notre-Dame-de-l'Île-Perrot,Quebec,,
2471070,Pincourt,Quebec,,
2471075,Terrasse-Vaudreuil,Quebec,,
2471083,Vaudreuil-Dorion,Quebec,,
2471090,Vaudreuil-sur-le-Lac,Quebec,,
2472005,Saint-Eustache,Quebec,,
2472010,Deux-Montagnes,Quebec,,
2472015,Sainte-Marthe-sur-le-Lac,Quebec,,
2472020,Pointe-Calumet,Quebec,,
2473005,Boisbriand,Quebec,,
2473010,Sainte-Thérèse,Quebec,,
2473015,Blainville,Quebec,,
2473020,Rosemère,Quebec,,
2473025,Lorraine,Quebec,,
2473030,Bois-des-Filion,Quebec,,
2475017,Saint-Jérôme,Quebec,,
2476055,Grenville,Quebec,,
2480050,Thurso,Quebec,,
2481017,Gatineau,Quebec,,
2483065,Maniwaki,Quebec,,
2484060,Fort-Coulonge,Quebec,,
2485025,Ville-Marie,Quebec,,
2489804,Lac Simon,Quebec,,
3501012,Cornwall,Ontario,,
3502008,Hawkesbury,Ontario,,
3502044,Casselman,Ontario,,
3507008,Prescott,Ontario,,
3507015,Brockville,Ontario,,
3507024,Gananoque,Ontario,,
3509004,Smiths Falls,Ontario,,
3509021,Perth,Ontario,,
3509028,Carleton Place,Ontario,,
3512002,Deseronto,Ontario,,
3514021,Cobourg,Ontario,,
3515014,Peterborough,Ontario,,
3518001,Pickering,Ontario,,
3518005,Ajax,Ontario,,
3518009,Whitby,Ontario,,
3518013,Oshawa,Ontario,,
3519028,Vaughan,Ontario,,
3519036,Markham,Ontario,,
3519038,Richmond Hill,Ontario,,
3519046,Aurora,Ontario,,
3519048,Newmarket,Ontario,,
3520005,Toronto,Ontario,,
3521005,Mississauga,Ontario,,
3521010,Brampton,Ontario,,
3522014,Orangeville,Ontario,,
3522021,Shelburne,Ontario,,
3523008,Guelph,Ontario,,
3524001,Oakville,Ontario,,
3524002,Burlington,Ontario,,
3525005,Hamilton,Ontario,,
3526032,Welland,Ontario,,
3526043,Niagara Falls,Ontario,,
3526053,St. Catharines,Ontario,,
3526065,Grimsby,Ontario,,
3529006,Brantford,Ontario,,
3530010,Cambridge,Ontario,,
3530013,Kitchener,Ontario,,
3530016,Waterloo,Ontario,,
3531011,Stratford,Ontario,,
3531016,St. Marys,Ontario,,
3532004,Tillsonburg,Ontario,,
3532018,Ingersoll,Ontario,,
3532042,Woodstock,Ontario,,
3534011,Aylmer,Ontario,,
3534021,St. Thomas,Ontario,,
3537034,LaSalle,Ontario,,
3537039,Windsor,Ontario,,
3538019,Petrolia,Ontario,,
3538030,Sarnia,Ontario,,
3538031,Point Edward,Ontario,,
3539036,London,Ontario,,
3540028,Goderich,Ontario,,
3542029,Hanover,Ontario,,
3542059,Owen Sound,Ontario,,
3543031,Collingwood,Ontario,,
3543042,Barrie,Ontario,,
3543052,Orillia,Ontario,,
3543064,Wasaga Beach,Ontario,,
3543074,Midland,Ontario,,
3547002,Arnprior,Ontario,,
3547048,Renfrew,Ontario,,
3547064,Pembroke,Ontario,,
3548021,Mattawa,Ontario,,
3549032,Parry Sound,Ontario,,
3554052,Englehart,Ontario,,
4601060,Lac du Bonnet,Manitoba,,
4602037,St-Pierre-Jolys,Manitoba,,
4602044,Steinbach,Manitoba,,
4602046,Niverville,Manitoba,,
4602061,Ste. Anne,Manitoba,,
4603040,Altona,Manitoba,,
4603050,Winkler,Manitoba,,
4603053,Morden,Manitoba,,
4603074,Carman,Manitoba,,
4607062,Brandon,Manitoba,,
4609029,Portage la Prairie,Manitoba,,
4611040,Winnipeg,Manitoba,,
4612056,Beausejour,Manitoba,,
4613047,Selkirk,Manitoba,,
4614039,Stonewall,Manitoba,,
