CSDUID,CSDNAME,length_km
1001485,Conception Bay South,248.29965609606987
1001517,Paradise,163.82101289060313
1001542,Mount Pearl,134.09738828917656
1005017,Massey Drive,8.803405136796965
1102075,Charlottetown,307.1146849734802
1102080,Stratford,118.90835000620598
1103014,Kensington,16.488055067320065
1103025,Summerside,141.18544861940543
1202006,Yarmouth,73.64220282947419
1203006,Digby,26.717731569028942
1206004,Bridgewater,75.75981544013929
1206006,Lunenburg,34.971767303582794
1207024,Wolfville,36.092091476686974
1211011,Amherst,84.74745383276256
1212009,Stellarton,51.843819387899735
1212014,New Glasgow,85.08757902240575
1214002,Antigonish,40.85257390017067
1303012,Oromocto,128.0209636223193
1305022,Sussex,54.29565724056451
1306020,Riverview,149.35627333194043
1307022,Moncton,696.5289667652706
1310032,Fredericton,551.8944908879309
1314022,Saint-Quentin,27.044063790168057
2409065,Price,14.78232581859799
2411040,Trois-Pistoles,33.55244718379485
2421045,Boischatel,67.44278954041702
2423027,Québec,2933.879047340405
2423057,L'Ancienne-Lorette,89.80427955406269
2432040,Plessisville,50.06439433220059
2437067,Trois-Rivières,1182.115024954591
2439062,Victoriaville,404.70396400622224
2441060,East Angus,42.17078437180289
2442098,Richmond,37.66194837893622
2443027,Sherbrooke,1415.4068981610412
2446035,Bedford,25.758758677529602
2447017,Granby,593.2244335732183
2447025,Waterloo,50.717809946030876
2449075,Notre-Dame-du-Bon-Conseil,16.415530966812224
2452035,Berthierville,37.043594610368906
2452080,Saint-Gabriel,31.14673073539517
2453050,Saint-Joseph-de-Sorel,9.871745462070386
2453052,Sorel-Tracy,309.8211367077131
2454025,Sainte-Madeleine,19.42162532522267
2456083,Saint-Jean-sur-Richelieu,869.9205186403016
2457005,Chambly,174.83063212997703
2457020,Saint-Basile-le-Grand,111.81039713497869
2457025,McMasterville,35.343611425093066
2457030,Otterburn Park,57.37093639948091
2457035,Mont-Saint-Hilaire,173.79605123162747
2457040,Beloeil,157.80044586938203
2458007,Brossard,480.9757979131995
2458012,Saint-Lambert,121.62416882635686
2458033,Boucherville,392.37462944945383
2458037,Saint-Bruno-de-Montarville,238.04415767974567
2458227,Longueuil,1115.042089221913
2459010,Sainte-Julie,212.5704318830531
2460005,Charlemagne,31.644565912518864
2460013,Repentigny,447.77411561076843
2461025,Joliette,154.48094842681317
2461030,Notre-Dame-des-Prairies,83.20137737137198
2461035,Saint-Charles-Borromée,111.30204518228774
2464008,Terrebonne,770.9894308917728
2464015,Mascouche,346.07667712337667
2465005,Laval,2059.807039719847
2466023,Montréal,4523.854651372407
2466032,Westmount,65.15138942445857
2466047,Montréal-Ouest,21.32207335386278
2466058,Côte-Saint-Luc,77.0905445229691
2466062,Hampstead,30.18320120886282
2466072,Mont-Royal,118.42444680879225
2466087,Dorval,182.4165492850145
2466097,Pointe-Claire,224.13644942206056
2466102,Kirkland,136.22832204333474
2466107,Beaconsfield,143.50626052927106
2466112,Baie-D'Urfé,56.75887699036928
2466117,Sainte-Anne-de-Bellevue,74.84189650895445
2466142,Dollard-Des Ormeaux,194.00426111569533
2467015,La Prairie,180.48113162949863
2467020,Candiac,167.00854512995443
2467025,Delson,59.0390316885434
2467030,Sainte-Catherine,85.75581780944174
2467035,Saint-Constant,209.5104663206451
2467050,Châteauguay,295.9922233280609
2468030,Napierville,29.036250562970665
2469055,Huntingdon,24.53615516263031
2471033,Les Coteaux,43.049013425329306
2471055,Pointe-des-Cascades,12.90565360803684
2471060,L'Île-Perrot,62.261562569696565
2471065,Notre-Dame-de-l'Île-Perrot,95.39278120468968
2471070,Pincourt,81.44162153921981
2471075,Terrasse-Vaudreuil,12.609835310073484
2471083,Vaudreuil-Dorion,357.87072618343205
2471090,Vaudreuil-sur-le-Lac,11.596829646514504
2472005,Saint-Eustache,286.67047957646616
2472010,Deux-Montagnes,84.1925533670987
2472015,Sainte-Marthe-sur-le-Lac,107.28479746469243
2472020,Pointe-Calumet,49.567183314018514
2473005,Boisbriand,191.45796276334147
2473010,Sainte-Thérèse,138.46490942204343
2473015,Blainville,320.7046786378897
2473020,Rosemère,119.36510481660947
2473025,Lorraine,75.63985695719728
2473030,Bois-des-Filion,63.37616057669578
2475017,Saint-Jérôme,527.7805612493817
2476055,Grenville,16.252744522914867
2480050,Thurso,26.834104239678343
2481017,Gatineau,1728.5653002154747
2483065,Maniwaki,40.446484253116154
2484060,Fort-Coulonge,19.99626839841914
2485025,Ville-Marie,29.877516842272552
2489804,Lac Simon,9.927416881764724
3501012,Cornwall,313.60859500035434
3502008,Hawkesbury,64.90123920381895
3502044,Casselman,37.389428755138084
3507008,Prescott,38.95982889759755
3507015,Brockville,151.9084141458793
3507024,Gananoque,52.58032399397529
3509004,Smiths Falls,76.22961754304893
3509021,Perth,57.424491818051536
3509028,Carleton Place,87.93975705040043
3512002,Deseronto,16.48105348388425
3514021,Cobourg,158.90891866232633
3515014,Peterborough,477.8608491658748
3518001,Pickering,717.9823523468608
3518005,Ajax,498.19033697823266
3518009,Whitby,791.678993551864
3518013,Oshawa,826.8490982993407
3519028,Vaughan,1551.9640346185292
3519036,Markham,1408.1242801975293
3519038,Richmond Hill,780.1648702964314
3519046,Aurora,310.17924737945646
3519048,Newmarket,342.13833006926114
3520005,Toronto,6471.805009062285
3521005,Mississauga,2475.566424136303
3521010,Brampton,2135.635321400199
3522014,Orangeville,130.5828161457461
3522021,Shelburne,44.06042397781919
3523008,Guelph,658.1157993699196
3524001,Oakville,1047.4244212190804
3524002,Burlington,941.6233347240185
3525005,Hamilton,3469.182813877206
3526032,Welland,441.30893315802115
3526043,Niagara Falls,886.3302288197054
3526053,St. Catharines,777.7507470243632
3526065,Grimsby,251.4834572387951
3529006,Brantford,603.2566193181939
3530010,Cambridge,700.4531712703084
3530013,Kitchener,1028.8625634367752
3530016,Waterloo,508.2311034699162
3531011,Stratford,202.26015895696403
3531016,St. Marys,68.29187138953912
3532004,Tillsonburg,145.30640411512186
3532018,Ingersoll,95.58134243438575
3532042,Woodstock,344.881110799423
3534011,Aylmer,45.58464560954895
3534021,St. Thomas,237.73429373420052
3537034,LaSalle,260.8249277906414
3537039,Windsor,1271.0362639929858
3538019,Petrolia,51.18097282346367
3538030,Sarnia,654.1591254387993
3538031,Point Edward,34.997521098997744
3539036,London,2026.52277703384
3540028,Goderich,76.23158918223272
3542029,Hanover,60.90097210728851
3542059,Owen Sound,138.28374314514613
3543031,Collingwood,183.75157105517687
3543042,Barrie,706.0812274938781
3543052,Orillia,211.04738615193912
3543064,Wasaga Beach,305.5614874329823
3543074,Midland,150.21463960736872
3547002,Arnprior,80.65706791831394
3547048,Renfrew,73.1325463644596
3547064,Pembroke,108.36777461528807
3548021,Mattawa,27.39038428839797
3549032,Parry Sound,75.75481143409749
3554052,Englehart,17.27483019372916
4601060,Lac du Bonnet,15.130625416522172
4602037,St-Pierre-Jolys,11.37193642911572
4602044,Steinbach,154.087643512899
4602046,Niverville,45.98474770352629
4602061,Ste. Anne,21.836055232029913
4603040,Altona,50.13757221795592
4603050,Winkler,122.47292184591448
4603053,Morden,91.06229731750246
4603074,Carman,36.66828790241735
4607062,Brandon,410.31952856153947
4609029,Portage la Prairie,162.21721973295
4611040,Winnipeg,3717.346936921647
4612056,Beausejour,38.137695820903744
4613047,Selkirk,103.17811405782281
4614039,Stonewall,46.71618766762273
4617050,Dauphin,87.78290109971793
4618074,Arborg,15.623182741658967
4620048,Swan River,56.743541545059756
4622026,Thompson,83.04907372537666
4701008,Carnduff,19.469875631564
4701024,Estevan,129.0455961596954
4702047,Weyburn,109.51035773174544
4703036,Assiniboia,34.66617862258198
4704048,Maple Creek,32.05593117772541
4705016,Kipling,17.82084451613874
4705052,Esterhazy,36.82065467828587
4706027,Regina,1390.3060694767419
4706030,White City,44.65949124465506
4706031,Pilot Butte,34.510535853687976
4706039,Indian Head,33.07705556496277
4707037,Caronport,12.81559187434379
4707039,Moose Jaw,359.88345812227243
4708004,Swift Current,205.89725466506997
4709012,Yorkton,189.50033445186867
4710068,Wadena,25.981830137532228
4711066,Saskatoon,1645.306691457367
4711068,Warman,97.36110289503547
4711070,Martensville,66.60187479686924
4711073,Dalmeny,18.847805589110205
4711075,Osler,14.7403169865579
4713051,Macklin,16.97890447511466
4714044,Tisdale,42.26010338155823
4714051,Melfort,84.07797864331609
4714076,Nipawin,62.145457095515305
4715008,Humboldt,75.44078746326478
4715028,Waldheim,15.526857401436692
4715066,Prince Albert,322.218484886311
4715068,Birch Hills,14.50263266239894
4716029,North Battleford,178.20478379190158
4717052,Meadow Lake,60.68355385537711
4801006,Medicine Hat,544.2141963779409
4802008,Raymond,50.03481430282213
4802009,Stirling,21.178510220516113
4802012,Lethbridge,764.8971359253982
4802013,Coalhurst,17.877303820976223
4802014,Nobleford,13.033937742691572
4802018,Picture Butte,16.718900541160714
4802019,Coaldale,86.85067584311757
4802022,Taber,96.8719841323404
