CSDUID,CSDNAME,PRUID,province,area_km2,assigned_ecozone,dominant_ecozone,coverage_pct,in_eab_area,avg_annual_precip_mm,avg_annual_frost_free_days,avg_annual_degree_days_b10
1001485,Conception Bay South,10,Newfoundland and Labrador,61.90603882450637,Boreal Shield,Yes,100.0,No,1274.420701461881,149.66368112884868,547.1451435299772
1001517,Paradise,10,Newfoundland and Labrador,32.522274401259295,Boreal Shield,Yes,100.0,No,1351.3839531271803,149.20991749220278,526.433097862277
1001542,Mount Pearl,10,Newfoundland and Labrador,15.895362887579134,Boreal Shield,Yes,100.0,No,1370.6362811959498,149.30261337666406,525.5686161389708
1005017,Massey Drive,10,Newfoundland and Labrador,2.7163330494414604,Boreal Shield,Yes,100.0,No,1199.9566758213855,130.36666870117188,553.981689453125
1102075,Charlottetown,11,Prince Edward Island,45.58302942050059,Atlantic Maritime,Yes,100.0,No,1111.557093569349,162.17675061387445,941.8411029060277
1102080,Stratford,11,Prince Edward Island,23.24077765410004,Atlantic Maritime,Yes,100.0,No,1111.041410554004,163.4845001884175,951.2146668434566
1103014,Kensington,11,Prince Edward Island,3.2564522143183248,Atlantic Maritime,Yes,100.0,No,1101.3725615815003,161.1999969482422,931.46630859375
1103025,Summerside,11,Prince Edward Island,28.89017691750979,Atlantic Maritime,Yes,100.0,No,1095.53287029719,159.1175820242155,948.6642174508694
1202006,Yarmouth,12,Nova Scotia,11.142635606224559,Atlantic Maritime,Yes,100.0,No,1280.7570807592874,187.32859389804418,833.4754145609348
1203006,Digby,12,Nova Scotia,3.290172658037343,Atlantic Maritime,Yes,100.0,No,1155.0608083605596,168.96665954589844,859.9408569335938
1206004,Bridgewater,12,Nova Scotia,14.674786454428158,Atlantic Maritime,Yes,100.0,No,1428.4977176551906,168.67212931923333,919.7028966442011
1206006,Lunenburg,12,Nova Scotia,4.219143032966643,Atlantic Maritime,Yes,100.0,No,1420.6141839745706,173.24830238618978,947.1464656429588
1207024,Wolfville,12,Nova Scotia,6.704514373049958,Atlantic Maritime,Yes,100.0,No,1165.795273547172,151.9417915406894,985.539928678897
1211011,Amherst,12,Nova Scotia,12.414812540626361,Atlantic Maritime,Yes,100.0,No,1172.3040073669417,140.9811986478663,931.3715539607274
1212009,Stellarton,12,Nova Scotia,9.38031718048314,Atlantic Maritime,Yes,100.0,No,1187.2372592760896,156.56107935362462,903.5631428722885
1212014,New Glasgow,12,Nova Scotia,10.25880614829795,Atlantic Maritime,Yes,100.0,No,1174.597621551978,159.83627632275312,919.0915567861977
1214002,Antigonish,12,Nova Scotia,5.252123404958433,Atlantic Maritime,Yes,100.0,No,1237.9494769322907,161.20350977305137,885.1514728311366
1303012,Oromocto,13,New Brunswick,23.28853263563811,Atlantic Maritime,Yes,100.0,Yes,1122.3805512619715,142.71061972908075,993.5732557076371
1305022,Sussex,13,New Brunswick,9.34281443122048,Atlantic Maritime,Yes,100.0,Yes,1176.1916726826612,144.10000610351562,929.5549955917947
1306020,Riverview,13,New Brunswick,34.99223038916716,Atlantic Maritime,Yes,100.0,Yes,1175.779834515826,143.58852518284812,955.0546996669826
1307022,Moncton,13,New Brunswick,146.12151434508286,Atlantic Maritime,Yes,100.0,Yes,1158.1804707213125,143.54841852691206,955.7962163350244
1310032,Fredericton,13,New Brunswick,144.40647807216405,Atlantic Maritime,Yes,100.0,Yes,1115.1071071600854,140.5824678944173,984.700305807426
1314022,Saint-Quentin,13,New Brunswick,4.293428150584238,Atlantic Maritime,Yes,100.0,No,1101.07711277154,119.60027141475095,726.7334356851545
2409065,Price,24,Quebec,2.6730630042477226,Atlantic Maritime,Yes,100.0,Yes,993.380093779689,145.60000610351562,656.6806640625
2411040,Trois-Pistoles,24,Quebec,7.688347621880233,Atlantic Maritime,Yes,100.0,Yes,1018.7213044904005,156.48281474592753,639.4022920736754
2421045,Boischatel,24,Quebec,21.18953947797441,Boreal Shield,Yes,88.16,Yes,1241.6539041950953,143.21498027703282,905.4364785555009
2423027,Québec,24,Quebec,469.3898346831816,MixedWood Plain,Yes,50.63,Yes,1240.3489587525287,142.34526952202532,930.011685340874
2423057,L'Ancienne-Lorette,24,Quebec,7.865285258473006,MixedWood Plain,Yes,100.0,Yes,1182.5650903730761,145.03334045410156,996.5093383789062
2432040,Plessisville,24,Quebec,5.0567110934589055,MixedWood Plain,Yes,100.0,Yes,1121.7417475640582,137.0,1013.6958618164062
2437067,Trois-Rivières,24,Quebec,301.2045976342449,MixedWood Plain,Yes,100.0,Yes,997.8536382861664,149.78974985831735,1096.9411471897615
2439062,Victoriaville,24,Quebec,88.30798226833426,MixedWood Plain,Yes,100.0,Yes,1076.7744889454818,140.3340327947244,1054.5549357172592
2441060,East Angus,24,Quebec,8.622241668376322,Atlantic Maritime,Yes,100.0,Yes,1101.4505895044863,132.13312952653413,1014.1771800953844
2442098,Richmond,24,Quebec,7.684612041153515,Atlantic Maritime,Yes,100.0,Yes,1067.5536632430808,141.2248353245798,1071.2049924374792
2443027,Sherbrooke,24,Quebec,377.35817947588936,Atlantic Maritime,Yes,100.0,Yes,1089.9501169539847,136.1681548734193,1039.0536916302144
2446035,Bedford,24,Quebec,4.534628830523025,MixedWood Plain,Yes,100.0,Yes,1035.8139485345787,156.0460579465785,1260.7809407232562
2447017,Granby,24,Quebec,160.1769882263951,MixedWood Plain,Yes,100.0,Yes,1105.5481683398402,151.8177801538811,1199.7954611299137
2447025,Waterloo,24,Quebec,13.961234726380235,MixedWood Plain,Yes,80.02,Yes,1174.2459385146467,145.2129674931444,1104.5611374730904
2449075,Notre-Dame-du-Bon-Conseil,24,Quebec,4.541145946230405,MixedWood Plain,Yes,100.0,Yes,1017.2805775057751,150.75509823532383,1128.3447607403384
2452035,Berthierville,24,Quebec,7.0219773300182915,MixedWood Plain,Yes,100.0,Yes,992.0871466953118,157.530049281709,1190.241998624591
2452080,Saint-Gabriel,24,Quebec,13.140487097397326,Boreal Shield,Yes,100.0,Yes,1033.7938777053316,139.90620593128048,1009.3239113061427
2453050,Saint-Joseph-de-Sorel,24,Quebec,1.4429729777753182,MixedWood Plain,Yes,100.0,Yes,994.4252242372675,160.06666564941406,1207.6231689453125
2453052,Sorel-Tracy,24,Quebec,60.835994634000215,MixedWood Plain,Yes,100.0,Yes,996.0162864381616,160.50052247984152,1211.8957493213866
2454025,Sainte-Madeleine,24,Quebec,5.525840744457855,MixedWood Plain,Yes,100.0,Yes,1040.9641432473932,160.99076536030378,1253.5009789860405
2456083,Saint-Jean-sur-Richelieu,24,Quebec,241.0870129316303,MixedWood Plain,Yes,100.0,Yes,1012.5975808457489,162.91786678389147,1291.0330229160659
2457005,Chambly,24,Quebec,28.405278591970152,MixedWood Plain,Yes,100.0,Yes,1012.926070349621,163.06402015976437,1295.59915058167
2457020,Saint-Basile-le-Grand,24,Quebec,37.95021479802752,MixedWood Plain,Yes,100.0,Yes,1010.2097153489582,162.75387012707634,1280.434500161112
2457025,McMasterville,24,Quebec,3.4747992010674915,MixedWood Plain,Yes,100.0,Yes,1012.7599491493451,161.93333435058594,1273.059326171875
